,Colorado
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,2.0
3/6/20,6.0
3/7/20,0.0
3/8/20,0.0
3/9/20,4.0
3/10/20,5.0
3/11/20,17.0
3/12/20,15.0
3/13/20,29.0
3/14/20,25.0
3/15/20,33.0
3/16/20,25.0
3/17/20,22.0
3/18/20,33.0
3/19/20,62.0
3/20/20,86.0
3/21/20,111.0
3/22/20,120.0
3/23/20,128.0
3/24/20,189.0
3/25/20,175.0
3/26/20,343.0
3/27/20,308.0
3/28/20,323.0
3/29/20,247.0
3/30/20,319.0
3/31/20,339.0
4/1/20,376.0
4/2/20,386.0
4/3/20,445.0
4/4/20,392.0
4/5/20,385.0
4/6/20,233.0
4/7/20,246.0
4/8/20,226.0
4/9/20,547.0
4/10/20,311.0
4/11/20,380.0
4/12/20,414.0
4/13/20,389.0
4/14/20,254.0
4/15/20,330.0
4/16/20,395.0
4/17/20,372.0
4/18/20,393.0
4/19/20,290.0
4/20/20,382.0
4/21/20,361.0
4/22/20,418.0
4/23/20,387.0
4/24/20,978.0
4/25/20,712.0
4/26/20,473.0
4/27/20,438.0
4/28/20,437.0
4/29/20,442.0
4/30/20,526.0
5/1/20,509.0
5/2/20,432.0
5/3/20,410.0
5/4/20,283.0
5/5/20,449.0
5/6/20,465.0
5/7/20,538.0
5/8/20,457.0
5/9/20,548.0
5/10/20,328.0
5/11/20,176.0
5/12/20,278.0
5/13/20,318.0
5/14/20,363.0
5/15/20,394.0
5/16/20,401.0
5/17/20,305.0
5/18/20,264.0
5/19/20,280.0
5/20/20,315.0
5/21/20,394.0
5/22/20,296.0
5/23/20,477.0
5/24/20,210.0
5/25/20,95.0
5/26/20,296.0
5/27/20,202.0
5/28/20,354.0
5/29/20,491.0
5/30/20,486.0
5/31/20,280.0
6/1/20,199.0
6/2/20,211.0
6/3/20,272.0
6/4/20,300.0
6/5/20,255.0
6/6/20,233.0
6/7/20,153.0
6/8/20,182.0
6/9/20,164.0
6/10/20,152.0
6/11/20,148.0
6/12/20,175.0
6/13/20,195.0
6/14/20,113.0
6/15/20,169.0
6/16/20,143.0
6/17/20,229.0
6/18/20,230.0
6/19/20,286.0
6/20/20,161.0
6/21/20,191.0
6/22/20,166.0
6/23/20,188.0
6/24/20,262.0
6/25/20,324.0
6/26/20,317.0
6/27/20,226.0
6/28/20,285.0
6/29/20,204.0
6/30/20,204.0
7/1/20,314.0
7/2/20,323.0
7/3/20,260.0
7/4/20,254.0
7/5/20,199.0
7/6/20,192.0
7/7/20,407.0
7/8/20,452.0
7/9/20,409.0
7/10/20,666.0
7/11/20,400.0
7/12/20,322.0
7/13/20,323.0
7/14/20,450.0
7/15/20,469.0
7/16/20,571.0
7/17/20,618.0
7/18/20,444.0
7/19/20,354.0
7/20/20,424.0
7/21/20,493.0
7/22/20,639.0
7/23/20,615.0
7/24/20,667.0
7/25/20,809.0
7/26/20,547.0
7/27/20,229.0
7/28/20,749.0
7/29/20,482.0
7/30/20,408.0
7/31/20,605.0
8/1/20,458.0
8/2/20,460.0
8/3/20,241.0
8/4/20,426.0
8/5/20,594.0
8/6/20,448.0
8/7/20,457.0
8/8/20,431.0
8/9/20,336.0
8/10/20,378.0
8/11/20,403.0
8/12/20,315.0
8/13/20,463.0
8/14/20,319.0
8/15/20,300.0
8/16/20,338.0
8/17/20,194.0
8/18/20,261.0
8/19/20,270.0
8/20/20,329.0
8/21/20,0.0
8/22/20,653.0
8/23/20,260.0
8/24/20,198.0
8/25/20,459.0
8/26/20,193.0
8/27/20,350.0
8/28/20,430.0
8/29/20,267.0
8/30/20,183.0
8/31/20,201.0
9/1/20,351.0
9/2/20,244.0
9/3/20,268.0
9/4/20,0.0
9/5/20,699.0
9/6/20,285.0
9/7/20,213.0
9/8/20,187.0
9/9/20,240.0
9/10/20,264.0
9/11/20,307.0
9/12/20,414.0
9/13/20,417.0
9/14/20,374.0
9/15/20,412.0
9/16/20,587.0
9/17/20,459.0
9/18/20,605.0
9/19/20,606.0
9/20/20,501.0
9/21/20,542.0
9/22/20,654.0
9/23/20,616.0
9/24/20,548.0
9/25/20,709.0
9/26/20,584.0
9/27/20,569.0
9/28/20,411.0
9/29/20,535.0
9/30/20,511.0
10/1/20,682.0
10/2/20,680.0
10/3/20,657.0
10/4/20,521.0
10/5/20,461.0
10/6/20,654.0
10/7/20,731.0
10/8/20,863.0
10/9/20,834.0
10/10/20,1023.0
10/11/20,819.0
10/12/20,576.0
10/13/20,1048.0
10/14/20,692.0
10/15/20,1141.0
10/16/20,1312.0
10/17/20,1139.0
10/18/20,933.0
10/19/20,1072.0
10/20/20,1208.0
10/21/20,1267.0
10/22/20,1373.0
10/23/20,1350.0
10/24/20,1828.0
10/25/20,1689.0
10/26/20,2211.0
10/27/20,1433.0
10/28/20,1475.0
10/29/20,1806.0
10/30/20,2412.0
10/31/20,2924.0
11/1/20,2560.0
11/2/20,2237.0
11/3/20,2562.0
11/4/20,2928.0
11/5/20,3369.0
11/6/20,3463.0
11/7/20,3498.0
11/8/20,3017.0
11/9/20,3553.0
11/10/20,3890.0
11/11/20,3975.0
11/12/20,5197.0
11/13/20,6439.0
11/14/20,5196.0
11/15/20,4183.0
11/16/20,4296.0
11/17/20,4331.0
11/18/20,4650.0
11/19/20,6107.0
11/20/20,5765.0
11/21/20,6113.0
11/22/20,3921.0
11/23/20,3689.0
11/24/20,4150.0
11/25/20,4191.0
11/26/20,6053.0
11/27/20,4270.0
11/28/20,4330.0
11/29/20,3489.0
11/30/20,4133.0
12/1/20,4405.0
12/2/20,3862.0
12/3/20,6037.0
12/4/20,5013.0
12/5/20,5125.0
12/6/20,3234.0
12/7/20,4037.0
12/8/20,3971.0
12/9/20,3757.0
12/10/20,4649.0
12/11/20,4678.0
12/12/20,3961.0
12/13/20,2559.0
12/14/20,2911.0
12/15/20,2278.0
12/16/20,3334.0
12/17/20,3698.0
12/18/20,3693.0
12/19/20,2491.0
12/20/20,2292.0
12/21/20,2146.0
12/22/20,2516.0
12/23/20,2948.0
12/24/20,3030.0
12/25/20,2659.0
12/26/20,1430.0
12/27/20,1399.0
12/28/20,1650.0
12/29/20,1740.0
12/30/20,2451.0
12/31/20,3238.0
1/1/21,3064.0
1/2/21,2011.0
1/3/21,2078.0
1/4/21,2185.0
1/5/21,3458.0
1/6/21,2557.0
1/7/21,3473.0
1/8/21,3187.0
1/9/21,2837.0
1/10/21,2201.0
1/11/21,1677.0
1/12/21,1511.0
1/13/21,2438.0
1/14/21,2403.0
1/15/21,2281.0
1/16/21,2025.0
1/17/21,1498.0
1/18/21,1190.0
1/19/21,1685.0
1/20/21,1371.0
1/21/21,1983.0
1/22/21,1798.0
1/23/21,1958.0
1/24/21,1319.0
1/25/21,1215.0
1/26/21,1120.0
1/27/21,1676.0
1/28/21,1441.0
1/29/21,1722.0
1/30/21,1560.0
1/31/21,1166.0
2/1/21,916.0
2/2/21,936.0
2/3/21,1230.0
2/4/21,1584.0
2/5/21,1903.0
2/6/21,1502.0
2/7/21,1074.0
2/8/21,946.0
2/9/21,934.0
2/10/21,751.0
2/11/21,1722.0
2/12/21,2091.0
2/13/21,1209.0
2/14/21,853.0
2/15/21,533.0
2/16/21,668.0
2/17/21,1137.0
2/18/21,1241.0
2/19/21,1280.0
2/20/21,1117.0
2/21/21,802.0
2/22/21,680.0
2/23/21,1096.0
2/24/21,1168.0
2/25/21,1119.0
2/26/21,1521.0
2/27/21,1264.0
2/28/21,841.0
3/1/21,1536.0
3/2/21,776.0
3/3/21,1055.0
3/4/21,1351.0
3/5/21,1633.0
3/6/21,1108.0
3/7/21,850.0
3/8/21,575.0
3/9/21,838.0
3/10/21,1240.0
3/11/21,955.0
3/12/21,1291.0
3/13/21,1242.0
3/14/21,1215.0
3/15/21,422.0
3/16/21,322.0
3/17/21,626.0
3/18/21,1242.0
3/19/21,1782.0
3/20/21,1466.0
3/21/21,802.0
3/22/21,304.0
3/23/21,1370.0
3/24/21,1216.0
3/25/21,1373.0
3/26/21,1409.0
3/27/21,1295.0
3/28/21,957.0
3/29/21,807.0
3/30/21,957.0
3/31/21,1763.0
4/1/21,1604.0
4/2/21,1645.0
4/3/21,1571.0
4/4/21,1220.0
4/5/21,867.0
4/6/21,1266.0
4/7/21,1914.0
4/8/21,1885.0
4/9/21,1936.0
4/10/21,1454.0
4/11/21,1235.0
4/12/21,912.0
4/13/21,1904.0
4/14/21,2326.0
4/15/21,1498.0
4/16/21,2260.0
4/17/21,1450.0
4/18/21,1261.0
4/19/21,777.0
4/20/21,1963.0
4/21/21,1492.0
4/22/21,2361.0
4/23/21,1876.0
4/24/21,1917.0
4/25/21,1567.0
4/26/21,1012.0
4/27/21,2014.0
4/28/21,1137.0
4/29/21,2789.0
4/30/21,1772.0
5/1/21,1838.0
5/2/21,961.0
