,Delaware
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,1.0
3/12/20,0.0
3/13/20,3.0
3/14/20,2.0
3/15/20,0.0
3/16/20,2.0
3/17/20,8.0
3/18/20,3.0
3/19/20,11.0
3/20/20,9.0
3/21/20,6.0
3/22/20,11.0
3/23/20,12.0
3/24/20,36.0
3/25/20,15.0
3/26/20,11.0
3/27/20,33.0
3/28/20,51.0
3/29/20,18.0
3/30/20,32.0
3/31/20,55.0
4/1/20,49.0
4/2/20,25.0
4/3/20,57.0
4/4/20,143.0
4/5/20,80.0
4/6/20,110.0
4/7/20,145.0
4/8/20,188.0
4/9/20,93.0
4/10/20,117.0
4/11/20,153.0
4/12/20,146.0
4/13/20,133.0
4/14/20,168.0
4/15/20,88.0
4/16/20,56.0
4/17/20,247.0
4/18/20,221.0
4/19/20,0.0
4/20/20,207.0
4/21/20,186.0
4/22/20,269.0
4/23/20,108.0
4/24/20,134.0
4/25/20,134.0
4/26/20,458.0
4/27/20,128.0
4/28/20,413.0
4/29/20,80.0
4/30/20,79.0
5/1/20,184.0
5/2/20,120.0
5/3/20,170.0
5/4/20,80.0
5/5/20,83.0
5/6/20,407.0
5/7/20,161.0
5/8/20,172.0
5/9/20,166.0
5/10/20,0.0
5/11/20,288.0
5/12/20,176.0
5/13/20,211.0
5/14/20,271.0
5/15/20,150.0
5/16/20,174.0
5/17/20,123.0
5/18/20,199.0
5/19/20,168.0
5/20/20,157.0
5/21/20,192.0
5/22/20,143.0
5/23/20,0.0
5/24/20,280.0
5/25/20,156.0
5/26/20,101.0
5/27/20,30.0
5/28/20,75.0
5/29/20,65.0
5/30/20,186.0
5/31/20,76.0
6/1/20,107.0
6/2/20,80.0
6/3/20,27.0
6/4/20,34.0
6/5/20,27.0
6/6/20,72.0
6/7/20,97.0
6/8/20,30.0
6/9/20,48.0
6/10/20,36.0
6/11/20,50.0
6/12/20,67.0
6/13/20,56.0
6/14/20,35.0
6/15/20,76.0
6/16/20,63.0
6/17/20,41.0
6/18/20,55.0
6/19/20,112.0
6/20/20,70.0
6/21/20,94.0
6/22/20,45.0
6/23/20,27.0
6/24/20,42.0
6/25/20,91.0
6/26/20,37.0
6/27/20,74.0
6/28/20,135.0
6/29/20,150.0
6/30/20,98.0
7/1/20,36.0
7/2/20,221.0
7/3/20,192.0
7/4/20,73.0
7/5/20,132.0
7/6/20,165.0
7/7/20,121.0
7/8/20,48.0
7/9/20,69.0
7/10/20,121.0
7/11/20,91.0
7/12/20,61.0
7/13/20,75.0
7/14/20,90.0
7/15/20,81.0
7/16/20,64.0
7/17/20,223.0
7/18/20,92.0
7/19/20,90.0
7/20/20,105.0
7/21/20,122.0
7/22/20,46.0
7/23/20,132.0
7/24/20,278.0
7/25/20,-27.0
7/26/20,115.0
7/27/20,116.0
7/28/20,70.0
7/29/20,126.0
7/30/20,87.0
7/31/20,99.0
8/1/20,89.0
8/2/20,72.0
8/3/20,106.0
8/4/20,82.0
8/5/20,159.0
8/6/20,69.0
8/7/20,80.0
8/8/20,57.0
8/9/20,73.0
8/10/20,59.0
8/11/20,65.0
8/12/20,66.0
8/13/20,202.0
8/14/20,373.0
8/15/20,56.0
8/16/20,55.0
8/17/20,85.0
8/18/20,57.0
8/19/20,50.0
8/20/20,75.0
8/21/20,52.0
8/22/20,58.0
8/23/20,67.0
8/24/20,47.0
8/25/20,20.0
8/26/20,24.0
8/27/20,-10.0
8/28/20,107.0
8/29/20,266.0
8/30/20,-6.0
8/31/20,86.0
9/1/20,106.0
9/2/20,14.0
9/3/20,104.0
9/4/20,99.0
9/5/20,140.0
9/6/20,151.0
9/7/20,206.0
9/8/20,59.0
9/9/20,0.0
9/10/20,158.0
9/11/20,93.0
9/12/20,167.0
9/13/20,123.0
9/14/20,88.0
9/15/20,200.0
9/16/20,97.0
9/17/20,84.0
9/18/20,48.0
9/19/20,83.0
9/20/20,117.0
9/21/20,101.0
9/22/20,94.0
9/23/20,69.0
9/24/20,117.0
9/25/20,138.0
9/26/20,71.0
9/27/20,104.0
9/28/20,129.0
9/29/20,142.0
9/30/20,82.0
10/1/20,174.0
10/2/20,150.0
10/3/20,188.0
10/4/20,118.0
10/5/20,120.0
10/6/20,103.0
10/7/20,84.0
10/8/20,132.0
10/9/20,145.0
10/10/20,171.0
10/11/20,132.0
10/12/20,159.0
10/13/20,105.0
10/14/20,71.0
10/15/20,95.0
10/16/20,164.0
10/17/20,218.0
10/18/20,151.0
10/19/20,103.0
10/20/20,129.0
10/21/20,50.0
10/22/20,153.0
10/23/20,159.0
10/24/20,160.0
10/25/20,114.0
10/26/20,207.0
10/27/20,81.0
10/28/20,143.0
10/29/20,161.0
10/30/20,198.0
10/31/20,200.0
11/1/20,175.0
11/2/20,185.0
11/3/20,115.0
11/4/20,108.0
11/5/20,219.0
11/6/20,282.0
11/7/20,223.0
11/8/20,345.0
11/9/20,305.0
11/10/20,204.0
11/11/20,230.0
11/12/20,204.0
11/13/20,470.0
11/14/20,379.0
11/15/20,408.0
11/16/20,397.0
11/17/20,352.0
11/18/20,203.0
11/19/20,398.0
11/20/20,663.0
11/21/20,505.0
11/22/20,487.0
11/23/20,403.0
11/24/20,453.0
11/25/20,331.0
11/26/20,584.0
11/27/20,591.0
11/28/20,500.0
11/29/20,581.0
11/30/20,403.0
12/1/20,689.0
12/2/20,355.0
12/3/20,758.0
12/4/20,942.0
12/5/20,698.0
12/6/20,816.0
12/7/20,799.0
12/8/20,753.0
12/9/20,929.0
12/10/20,643.0
12/11/20,782.0
12/12/20,1058.0
12/13/20,584.0
12/14/20,997.0
12/15/20,685.0
12/16/20,787.0
12/17/20,839.0
12/18/20,341.0
12/19/20,1027.0
12/20/20,480.0
12/21/20,440.0
12/22/20,567.0
12/23/20,612.0
12/24/20,780.0
12/25/20,638.0
12/26/20,820.0
12/27/20,584.0
12/28/20,431.0
12/29/20,701.0
12/30/20,407.0
12/31/20,860.0
1/1/21,608.0
1/2/21,809.0
1/3/21,611.0
1/4/21,849.0
1/5/21,767.0
1/6/21,629.0
1/7/21,1220.0
1/8/21,554.0
1/9/21,972.0
1/10/21,798.0
1/11/21,554.0
1/12/21,619.0
1/13/21,727.0
1/14/21,892.0
1/15/21,662.0
1/16/21,645.0
1/17/21,922.0
1/18/21,616.0
1/19/21,401.0
1/20/21,464.0
1/21/21,748.0
1/22/21,710.0
1/23/21,682.0
1/24/21,660.0
1/25/21,616.0
1/26/21,299.0
1/27/21,342.0
1/28/21,663.0
1/29/21,440.0
1/30/21,616.0
1/31/21,520.0
2/1/21,424.0
2/2/21,201.0
2/3/21,286.0
2/4/21,243.0
2/5/21,321.0
2/6/21,286.0
2/7/21,762.0
2/8/21,337.0
2/9/21,279.0
2/10/21,251.0
2/11/21,414.0
2/12/21,388.0
2/13/21,409.0
2/14/21,331.0
2/15/21,236.0
2/16/21,130.0
2/17/21,212.0
2/18/21,271.0
2/19/21,329.0
2/20/21,350.0
2/21/21,201.0
2/22/21,358.0
2/23/21,138.0
2/24/21,278.0
2/25/21,295.0
2/26/21,297.0
2/27/21,419.0
2/28/21,282.0
3/1/21,281.0
3/2/21,113.0
3/3/21,232.0
3/4/21,218.0
3/5/21,231.0
3/6/21,265.0
3/7/21,215.0
3/8/21,209.0
3/9/21,116.0
3/10/21,212.0
3/11/21,789.0
3/12/21,231.0
3/13/21,245.0
3/14/21,225.0
3/15/21,233.0
3/16/21,137.0
3/17/21,372.0
3/18/21,302.0
3/19/21,210.0
3/20/21,307.0
3/21/21,345.0
3/22/21,142.0
3/23/21,180.0
3/24/21,210.0
3/25/21,219.0
3/26/21,287.0
3/27/21,376.0
3/28/21,361.0
3/29/21,340.0
3/30/21,171.0
3/31/21,229.0
4/1/21,386.0
4/2/21,402.0
4/3/21,487.0
4/4/21,299.0
4/5/21,201.0
4/6/21,229.0
4/7/21,236.0
4/8/21,362.0
4/9/21,380.0
4/10/21,419.0
4/11/21,367.0
4/12/21,355.0
4/13/21,210.0
4/14/21,380.0
4/15/21,400.0
4/16/21,407.0
4/17/21,455.0
4/18/21,381.0
4/19/21,389.0
4/20/21,160.0
4/21/21,286.0
4/22/21,274.0
4/23/21,326.0
4/24/21,334.0
4/25/21,295.0
4/26/21,237.0
4/27/21,144.0
4/28/21,241.0
4/29/21,194.0
4/30/21,367.0
5/1/21,216.0
5/2/21,288.0
