,Kansas
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,1.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,3.0
3/13/20,2.0
3/14/20,2.0
3/15/20,0.0
3/16/20,3.0
3/17/20,7.0
3/18/20,4.0
3/19/20,13.0
3/20/20,13.0
3/21/20,9.0
3/22/20,8.0
3/23/20,19.0
3/24/20,16.0
3/25/20,34.0
3/26/20,38.0
3/27/20,34.0
3/28/20,60.0
3/29/20,64.0
3/30/20,42.0
3/31/20,62.0
4/1/20,51.0
4/2/20,68.0
4/3/20,76.0
4/4/20,69.0
4/5/20,53.0
4/6/20,98.0
4/7/20,63.0
4/8/20,134.0
4/9/20,70.0
4/10/20,1.0
4/11/20,158.0
4/12/20,69.0
4/13/20,46.0
4/14/20,51.0
4/15/20,63.0
4/16/20,111.0
4/17/20,115.0
4/18/20,91.0
4/19/20,84.0
4/20/20,143.0
4/21/20,116.0
4/22/20,167.0
4/23/20,390.0
4/24/20,238.0
4/25/20,176.0
4/26/20,142.0
4/27/20,196.0
4/28/20,179.0
4/29/20,187.0
4/30/20,574.0
5/1/20,221.0
5/2/20,251.0
5/3/20,271.0
5/4/20,227.0
5/5/20,265.0
5/6/20,345.0
5/7/20,339.0
5/8/20,335.0
5/9/20,162.0
5/10/20,122.0
5/11/20,208.0
5/12/20,81.0
5/13/20,278.0
5/14/20,187.0
5/15/20,181.0
5/16/20,53.0
5/17/20,14.0
5/18/20,350.0
5/19/20,50.0
5/20/20,154.0
5/21/20,118.0
5/22/20,284.0
5/23/20,37.0
5/24/20,58.0
5/25/20,121.0
5/26/20,74.0
5/27/20,92.0
5/28/20,80.0
5/29/20,291.0
5/30/20,28.0
5/31/20,10.0
6/1/20,220.0
6/2/20,45.0
6/3/20,127.0
6/4/20,75.0
6/5/20,139.0
6/6/20,55.0
6/7/20,45.0
6/8/20,138.0
6/9/20,65.0
6/10/20,141.0
6/11/20,73.0
6/12/20,150.0
6/13/20,47.0
6/14/20,81.0
6/15/20,218.0
6/16/20,92.0
6/17/20,233.0
6/18/20,109.0
6/19/20,268.0
6/20/20,76.0
6/21/20,39.0
6/22/20,292.0
6/23/20,109.0
6/24/20,393.0
6/25/20,177.0
6/26/20,355.0
6/27/20,155.0
6/28/20,230.0
6/29/20,362.0
6/30/20,161.0
7/1/20,460.0
7/2/20,172.0
7/3/20,657.0
7/4/20,252.0
7/5/20,170.0
7/6/20,557.0
7/7/20,222.0
7/8/20,472.0
7/9/20,453.0
7/10/20,518.0
7/11/20,384.0
7/12/20,294.0
7/13/20,664.0
7/14/20,242.0
7/15/20,462.0
7/16/20,468.0
7/17/20,571.0
7/18/20,305.0
7/19/20,303.0
7/20/20,660.0
7/21/20,273.0
7/22/20,551.0
7/23/20,475.0
7/24/20,598.0
7/25/20,455.0
7/26/20,281.0
7/27/20,516.0
7/28/20,250.0
7/29/20,533.0
7/30/20,293.0
7/31/20,481.0
8/1/20,228.0
8/2/20,279.0
8/3/20,563.0
8/4/20,350.0
8/5/20,469.0
8/6/20,361.0
8/7/20,520.0
8/8/20,313.0
8/9/20,199.0
8/10/20,525.0
8/11/20,285.0
8/12/20,632.0
8/13/20,376.0
8/14/20,553.0
8/15/20,870.0
8/16/20,0.0
8/17/20,714.0
8/18/20,260.0
8/19/20,544.0
8/20/20,487.0
8/21/20,994.0
8/22/20,487.0
8/23/20,270.0
8/24/20,882.0
8/25/20,313.0
8/26/20,1023.0
8/27/20,475.0
8/28/20,693.0
8/29/20,543.0
8/30/20,166.0
8/31/20,843.0
9/1/20,361.0
9/2/20,883.0
9/3/20,541.0
9/4/20,970.0
9/5/20,290.0
9/6/20,170.0
9/7/20,519.0
9/8/20,663.0
9/9/20,411.0
9/10/20,370.0
9/11/20,576.0
9/12/20,288.0
9/13/20,100.0
9/14/20,891.0
9/15/20,324.0
9/16/20,734.0
9/17/20,436.0
9/18/20,961.0
9/19/20,361.0
9/20/20,2413.0
9/21/20,329.0
9/22/20,1016.0
9/23/20,360.0
9/24/20,1107.0
9/25/20,408.0
9/26/20,4.0
9/27/20,1463.0
9/28/20,374.0
9/29/20,942.0
9/30/20,278.0
10/1/20,1170.0
10/2/20,245.0
10/3/20,32.0
10/4/20,1157.0
10/5/20,253.0
10/6/20,1180.0
10/7/20,115.0
10/8/20,1605.0
10/9/20,337.0
10/10/20,83.0
10/11/20,1587.0
10/12/20,345.0
10/13/20,1182.0
10/14/20,277.0
10/15/20,1497.0
10/16/20,217.0
10/17/20,108.0
10/18/20,1486.0
10/19/20,621.0
10/20/20,1301.0
10/21/20,390.0
10/22/20,1422.0
10/23/20,490.0
10/24/20,72.0
10/25/20,1810.0
10/26/20,347.0
10/27/20,2708.0
10/28/20,376.0
10/29/20,2735.0
10/30/20,535.0
10/31/20,40.0
11/1/20,3327.0
11/2/20,447.0
11/3/20,2667.0
11/4/20,476.0
11/5/20,4747.0
11/6/20,898.0
11/7/20,212.0
11/8/20,4843.0
11/9/20,545.0
11/10/20,455.0
11/11/20,5378.0
11/12/20,272.0
11/13/20,6262.0
11/14/20,15.0
11/15/20,41.0
11/16/20,7155.0
11/17/20,585.0
11/18/20,5428.0
11/19/20,434.0
11/20/20,5731.0
11/21/20,173.0
11/22/20,19.0
11/23/20,7677.0
11/24/20,324.0
11/25/20,5182.0
11/26/20,355.0
11/27/20,4814.0
11/28/20,89.0
11/29/20,0.0
11/30/20,4301.0
12/1/20,308.0
12/2/20,4583.0
12/3/20,290.0
12/4/20,6024.0
12/5/20,211.0
12/6/20,1.0
12/7/20,5483.0
12/8/20,429.0
12/9/20,5305.0
12/10/20,258.0
12/11/20,5497.0
12/12/20,142.0
12/13/20,0.0
12/14/20,4518.0
12/15/20,271.0
12/16/20,4412.0
12/17/20,267.0
12/18/20,5665.0
12/19/20,64.0
12/20/20,5.0
12/21/20,4112.0
12/22/20,277.0
12/23/20,4793.0
12/24/20,137.0
12/25/20,0.0
12/26/20,0.0
12/27/20,0.0
12/28/20,6046.0
12/29/20,374.0
12/30/20,6037.0
12/31/20,6.0
1/1/21,4896.0
1/2/21,11.0
1/3/21,0.0
1/4/21,3950.0
1/5/21,-168.0
1/6/21,5296.0
1/7/21,114.0
1/8/21,5272.0
1/9/21,0.0
1/10/21,0.0
1/11/21,5129.0
1/12/21,91.0
1/13/21,4301.0
1/14/21,306.0
1/15/21,3944.0
1/16/21,0.0
1/17/21,0.0
1/18/21,3471.0
1/19/21,178.0
1/20/21,3519.0
1/21/21,187.0
1/22/21,3199.0
1/23/21,0.0
1/24/21,0.0
1/25/21,2595.0
1/26/21,75.0
1/27/21,3168.0
1/28/21,77.0
1/29/21,2133.0
1/30/21,0.0
1/31/21,0.0
2/1/21,2052.0
2/2/21,147.0
2/3/21,2167.0
2/4/21,41.0
2/5/21,2563.0
2/6/21,0.0
2/7/21,0.0
2/8/21,1412.0
2/9/21,3.0
2/10/21,1872.0
2/11/21,63.0
2/12/21,1199.0
2/13/21,0.0
2/14/21,0.0
2/15/21,1353.0
2/16/21,15.0
2/17/21,1250.0
2/18/21,31.0
2/19/21,2091.0
2/20/21,0.0
2/21/21,0.0
2/22/21,865.0
2/23/21,11.0
2/24/21,1098.0
2/25/21,26.0
2/26/21,782.0
2/27/21,0.0
2/28/21,0.0
3/1/21,647.0
3/2/21,10.0
3/3/21,790.0
3/4/21,30.0
3/5/21,515.0
3/6/21,199.0
3/7/21,0.0
3/8/21,600.0
3/9/21,18.0
3/10/21,730.0
3/11/21,26.0
3/12/21,433.0
3/13/21,0.0
3/14/21,0.0
3/15/21,439.0
3/16/21,7.0
3/17/21,622.0
3/18/21,22.0
3/19/21,434.0
3/20/21,0.0
3/21/21,0.0
3/22/21,379.0
3/23/21,29.0
3/24/21,570.0
3/25/21,52.0
3/26/21,439.0
3/27/21,0.0
3/28/21,0.0
3/29/21,430.0
3/30/21,25.0
3/31/21,497.0
4/1/21,22.0
4/2/21,467.0
4/3/21,0.0
4/4/21,0.0
4/5/21,355.0
4/6/21,9.0
4/7/21,530.0
4/8/21,22.0
4/9/21,428.0
4/10/21,0.0
4/11/21,0.0
4/12/21,489.0
4/13/21,1.0
4/14/21,623.0
4/15/21,2.0
4/16/21,519.0
4/17/21,0.0
4/18/21,0.0
4/19/21,409.0
4/20/21,0.0
4/21/21,583.0
4/22/21,6.0
4/23/21,478.0
4/24/21,0.0
4/25/21,0.0
4/26/21,488.0
4/27/21,0.0
4/28/21,640.0
4/29/21,3.0
4/30/21,586.0
5/1/21,0.0
5/2/21,0.0
