,Massachusetts
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,1.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,1.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,1.0
3/2/20,0.0
3/3/20,1.0
3/4/20,2.0
3/5/20,8.0
3/6/20,14.0
3/7/20,44.0
3/8/20,19.0
3/9/20,5.0
3/10/20,14.0
3/11/20,22.0
3/12/20,29.0
3/13/20,61.0
3/14/20,73.0
3/15/20,68.0
3/16/20,149.0
3/17/20,248.0
3/18/20,259.0
3/19/20,278.0
3/20/20,387.0
3/21/20,322.0
3/22/20,286.0
3/23/20,608.0
3/24/20,718.0
3/25/20,748.0
3/26/20,935.0
3/27/20,941.0
3/28/20,657.0
3/29/20,523.0
3/30/20,1238.0
3/31/20,1264.0
4/1/20,1339.0
4/2/20,1279.0
4/3/20,1486.0
4/4/20,1163.0
4/5/20,981.0
4/6/20,1931.0
4/7/20,2024.0
4/8/20,1863.0
4/9/20,1987.0
4/10/20,2060.0
4/11/20,1301.0
4/12/20,933.0
4/13/20,2023.0
4/14/20,2879.0
4/15/20,2605.0
4/16/20,2392.0
4/17/20,2998.0
4/18/20,1489.0
4/19/20,1093.0
4/20/20,2692.0
4/21/20,2195.0
4/22/20,2711.0
4/23/20,2407.0
4/24/20,2284.0
4/25/20,1498.0
4/26/20,847.0
4/27/20,2132.0
4/28/20,2109.0
4/29/20,2191.0
4/30/20,2051.0
5/1/20,2086.0
5/2/20,1031.0
5/3/20,739.0
5/4/20,1882.0
5/5/20,1738.0
5/6/20,1705.0
5/7/20,1685.0
5/8/20,1457.0
5/9/20,692.0
5/10/20,395.0
5/11/20,1311.0
5/12/20,1453.0
5/13/20,1317.0
5/14/20,1316.0
5/15/20,1108.0
5/16/20,651.0
5/17/20,372.0
5/18/20,1320.0
5/19/20,1077.0
5/20/20,1029.0
5/21/20,978.0
5/22/20,883.0
5/23/20,400.0
5/24/20,316.0
5/25/20,215.0
5/26/20,884.0
5/27/20,710.0
5/28/20,651.0
5/29/20,537.0
5/30/20,285.0
5/31/20,170.0
6/1/20,514.0
6/2/20,454.0
6/3/20,469.0
6/4/20,382.0
6/5/20,340.0
6/6/20,152.0
6/7/20,154.0
6/8/20,365.0
6/9/20,351.0
6/10/20,266.0
6/11/20,239.0
6/12/20,263.0
6/13/20,105.0
6/14/20,84.0
6/15/20,239.0
6/16/20,210.0
6/17/20,259.0
6/18/20,261.0
6/19/20,180.0
6/20/20,97.0
6/21/20,83.0
6/22/20,230.0
6/23/20,196.0
6/24/20,215.0
6/25/20,214.0
6/26/20,208.0
6/27/20,142.0
6/28/20,73.0
6/29/20,208.0
6/30/20,227.0
7/1/20,227.0
7/2/20,234.0
7/3/20,109.0
7/4/20,67.0
7/5/20,115.0
7/6/20,250.0
7/7/20,253.0
7/8/20,231.0
7/9/20,275.0
7/10/20,246.0
7/11/20,126.0
7/12/20,102.0
7/13/20,302.0
7/14/20,237.0
7/15/20,318.0
7/16/20,246.0
7/17/20,245.0
7/18/20,135.0
7/19/20,94.0
7/20/20,293.0
7/21/20,291.0
7/22/20,290.0
7/23/20,302.0
7/24/20,282.0
7/25/20,184.0
7/26/20,143.0
7/27/20,385.0
7/28/20,356.0
7/29/20,351.0
7/30/20,354.0
7/31/20,353.0
8/1/20,152.0
8/2/20,121.0
8/3/20,381.0
8/4/20,324.0
8/5/20,347.0
8/6/20,382.0
8/7/20,325.0
8/8/20,182.0
8/9/20,102.0
8/10/20,380.0
8/11/20,307.0
8/12/20,313.0
8/13/20,369.0
8/14/20,361.0
8/15/20,176.0
8/16/20,121.0
8/17/20,382.0
8/18/20,397.0
8/19/20,343.0
8/20/20,361.0
8/21/20,300.0
8/22/20,165.0
8/23/20,110.0
8/24/20,413.0
8/25/20,404.0
8/26/20,401.0
8/27/20,377.0
8/28/20,376.0
8/29/20,203.0
8/30/20,157.0
8/31/20,450.0
9/1/20,404.0
9/2/20,404.0
9/3/20,-280.0
9/4/20,212.0
9/5/20,438.0
9/6/20,366.0
9/7/20,229.0
9/8/20,171.0
9/9/20,181.0
9/10/20,403.0
9/11/20,440.0
9/12/20,554.0
9/13/20,286.0
9/14/20,254.0
9/15/20,313.0
9/16/20,306.0
9/17/20,429.0
9/18/20,454.0
9/19/20,599.0
9/20/20,359.0
9/21/20,256.0
9/22/20,173.0
9/23/20,543.0
9/24/20,481.0
9/25/20,488.0
9/26/20,569.0
9/27/20,592.0
9/28/20,430.0
9/29/20,512.0
9/30/20,532.0
10/1/20,754.0
10/2/20,761.0
10/3/20,672.0
10/4/20,644.0
10/5/20,515.0
10/6/20,495.0
10/7/20,535.0
10/8/20,444.0
10/9/20,765.0
10/10/20,639.0
10/11/20,563.0
10/12/20,760.0
10/13/20,749.0
10/14/20,580.0
10/15/20,587.0
10/16/20,767.0
10/17/20,584.0
10/18/20,730.0
10/19/20,828.0
10/20/20,976.0
10/21/20,702.0
10/22/20,1049.0
10/23/20,1070.0
10/24/20,1203.0
10/25/20,1077.0
10/26/20,1212.0
10/27/20,1260.0
10/28/20,1181.0
10/29/20,1346.0
10/30/20,1582.0
10/31/20,1430.0
11/1/20,1131.0
11/2/20,842.0
11/3/20,1036.0
11/4/20,1714.0
11/5/20,1862.0
11/6/20,2113.0
11/7/20,2302.0
11/8/20,1823.0
11/9/20,1328.0
11/10/20,2154.0
11/11/20,2660.0
11/12/20,2648.0
11/13/20,2906.0
11/14/20,3047.0
11/15/20,2133.0
11/16/20,2164.0
11/17/20,2525.0
11/18/20,2904.0
11/19/20,2682.0
11/20/20,2399.0
11/21/20,3206.0
11/22/20,2695.0
11/23/20,1773.0
11/24/20,2576.0
11/25/20,3395.0
11/26/20,0.0
11/27/20,4658.0
11/28/20,3217.0
11/29/20,2495.0
11/30/20,1168.0
12/1/20,3073.0
12/2/20,5027.0
12/3/20,6675.0
12/4/20,5491.0
12/5/20,5619.0
12/6/20,4827.0
12/7/20,2481.0
12/8/20,4122.0
12/9/20,5965.0
12/10/20,5369.0
12/11/20,5655.0
12/12/20,5289.0
12/13/20,4853.0
12/14/20,3653.0
12/15/20,3929.0
12/16/20,5952.0
12/17/20,5135.0
12/18/20,5679.0
12/19/20,4344.0
12/20/20,4261.0
12/21/20,3843.0
12/22/20,3800.0
12/23/20,4814.0
12/24/20,5937.0
12/25/20,0.0
12/26/20,7677.0
12/27/20,3134.0
12/28/20,4198.0
12/29/20,4145.0
12/30/20,6839.0
12/31/20,7260.0
1/1/21,0.0
1/2/21,9003.0
1/3/21,3481.0
1/4/21,4906.0
1/5/21,4634.0
1/6/21,6851.0
1/7/21,7548.0
1/8/21,8120.0
1/9/21,7414.0
1/10/21,5656.0
1/11/21,4251.0
1/12/21,5487.0
1/13/21,5918.0
1/14/21,5955.0
1/15/21,5525.0
1/16/21,5799.0
1/17/21,4414.0
1/18/21,3301.0
1/19/21,3085.0
1/20/21,4514.0
1/21/21,5140.0
1/22/21,5272.0
1/23/21,4641.0
1/24/21,3944.0
1/25/21,3651.0
1/26/21,2495.0
1/27/21,3320.0
1/28/21,4631.0
1/29/21,3118.0
1/30/21,4108.0
1/31/21,2665.0
2/1/21,2398.0
2/2/21,2239.0
2/3/21,2455.0
2/4/21,2804.0
2/5/21,3287.0
2/6/21,3619.0
2/7/21,3107.0
2/8/21,1369.0
2/9/21,1593.0
2/10/21,2050.0
2/11/21,2450.0
2/12/21,2416.0
2/13/21,2083.0
2/14/21,1882.0
2/15/21,1573.0
2/16/21,1226.0
2/17/21,1360.0
2/18/21,2040.0
2/19/21,1818.0
2/20/21,1970.0
2/21/21,1520.0
2/22/21,1262.0
2/23/21,1237.0
2/24/21,2102.0
2/25/21,2108.0
2/26/21,1987.0
2/27/21,1700.0
2/28/21,1468.0
3/1/21,1395.0
3/2/21,301.0
3/3/21,1899.0
3/4/21,1567.0
3/5/21,1899.0
3/6/21,1722.0
3/7/21,1425.0
3/8/21,988.0
3/9/21,1263.0
3/10/21,1657.0
3/11/21,1809.0
3/12/21,1786.0
3/13/21,1757.0
3/14/21,1692.0
3/15/21,1156.0
3/16/21,1202.0
3/17/21,1711.0
3/18/21,1941.0
3/19/21,2163.0
3/20/21,2376.0
3/21/21,1811.0
3/22/21,1206.0
3/23/21,1821.0
3/24/21,2121.0
3/25/21,2410.0
3/26/21,2760.0
3/27/21,2570.0
3/28/21,1975.0
3/29/21,1500.0
3/30/21,2050.0
3/31/21,2499.0
4/1/21,2759.0
4/2/21,2440.0
4/3/21,2453.0
4/4/21,0.0
4/5/21,2988.0
4/6/21,1803.0
4/7/21,2550.0
4/8/21,2393.0
4/9/21,2312.0
4/10/21,2300.0
4/11/21,1991.0
4/12/21,1532.0
4/13/21,1598.0
4/14/21,2244.0
4/15/21,2123.0
4/16/21,2216.0
4/17/21,1968.0
4/18/21,1407.0
4/19/21,1317.0
4/20/21,1188.0
4/21/21,1596.0
4/22/21,1628.0
4/23/21,1621.0
4/24/21,1563.0
4/25/21,1214.0
4/26/21,881.0
4/27/21,965.0
4/28/21,1613.0
4/29/21,1395.0
4/30/21,1335.0
5/1/21,1306.0
5/2/21,893.0
