,Michigan
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,2.0
3/12/20,1.0
3/13/20,21.0
3/14/20,12.0
3/15/20,9.0
3/16/20,31.0
3/17/20,14.0
3/18/20,69.0
3/19/20,155.0
3/20/20,157.0
3/21/20,154.0
3/22/20,506.0
3/23/20,323.0
3/24/20,488.0
3/25/20,526.0
3/26/20,564.0
3/27/20,816.0
3/28/20,1042.0
3/29/20,863.0
3/30/20,1050.0
3/31/20,1148.0
4/1/20,1766.0
4/2/20,1513.0
4/3/20,1991.0
4/4/20,1514.0
4/5/20,1533.0
4/6/20,1552.0
4/7/20,1824.0
4/8/20,1432.0
4/9/20,1221.0
4/10/20,982.0
4/11/20,1221.0
4/12/20,683.0
4/13/20,1439.0
4/14/20,1420.0
4/15/20,1102.0
4/16/20,822.0
4/17/20,1259.0
4/18/20,806.0
4/19/20,657.0
4/20/20,636.0
4/21/20,724.0
4/22/20,1356.0
4/23/20,1441.0
4/24/20,1485.0
4/25/20,459.0
4/26/20,751.0
4/27/20,494.0
4/28/20,1132.0
4/29/20,1213.0
4/30/20,1099.0
5/1/20,1046.0
5/2/20,900.0
5/3/20,623.0
5/4/20,301.0
5/5/20,566.0
5/6/20,824.0
5/7/20,674.0
5/8/20,758.0
5/9/20,506.0
5/10/20,410.0
5/11/20,545.0
5/12/20,632.0
5/13/20,556.0
5/14/20,1348.0
5/15/20,643.0
5/16/20,505.0
5/17/20,648.0
5/18/20,892.0
5/19/20,610.0
5/20/20,857.0
5/21/20,666.0
5/22/20,555.0
5/23/20,503.0
5/24/20,349.0
5/25/20,226.0
5/26/20,353.0
5/27/20,618.0
5/28/20,524.0
5/29/20,717.0
5/30/20,392.0
5/31/20,486.0
6/1/20,217.0
6/2/20,312.0
6/3/20,417.0
6/4/20,322.0
6/5/20,842.0
6/6/20,93.0
6/7/20,55.0
6/8/20,135.0
6/9/20,63.0
6/10/20,15.0
6/11/20,267.0
6/12/20,223.0
6/13/20,164.0
6/14/20,218.0
6/15/20,31.0
6/16/20,184.0
6/17/20,228.0
6/18/20,301.0
6/19/20,299.0
6/20/20,448.0
6/21/20,166.0
6/22/20,246.0
6/23/20,240.0
6/24/20,358.0
6/25/20,434.0
6/26/20,340.0
6/27/20,350.0
6/28/20,267.0
6/29/20,277.0
6/30/20,505.0
7/1/20,361.0
7/2/20,589.0
7/3/20,497.0
7/4/20,406.0
7/5/20,360.0
7/6/20,326.0
7/7/20,633.0
7/8/20,651.0
7/9/20,512.0
7/10/20,622.0
7/11/20,685.0
7/12/20,406.0
7/13/20,422.0
7/14/20,666.0
7/15/20,1049.0
7/16/20,926.0
7/17/20,754.0
7/18/20,745.0
7/19/20,530.0
7/20/20,527.0
7/21/20,664.0
7/22/20,671.0
7/23/20,701.0
7/24/20,641.0
7/25/20,550.0
7/26/20,1039.0
7/27/20,512.0
7/28/20,785.0
7/29/20,1016.0
7/30/20,807.0
7/31/20,793.0
8/1/20,758.0
8/2/20,426.0
8/3/20,616.0
8/4/20,801.0
8/5/20,718.0
8/6/20,763.0
8/7/20,814.0
8/8/20,721.0
8/9/20,535.0
8/10/20,580.0
8/11/20,907.0
8/12/20,476.0
8/13/20,1167.0
8/14/20,868.0
8/15/20,1058.0
8/16/20,477.0
8/17/20,490.0
8/18/20,653.0
8/19/20,689.0
8/20/20,527.0
8/21/20,0.0
8/22/20,1426.0
8/23/20,764.0
8/24/20,878.0
8/25/20,951.0
8/26/20,843.0
8/27/20,863.0
8/28/20,793.0
8/29/20,0.0
8/30/20,1390.0
8/31/20,499.0
9/1/20,795.0
9/2/20,648.0
9/3/20,774.0
9/4/20,1053.0
9/5/20,896.0
9/6/20,0.0
9/7/20,1212.0
9/8/20,499.0
9/9/20,970.0
9/10/20,974.0
9/11/20,1405.0
9/12/20,807.0
9/13/20,0.0
9/14/20,1229.0
9/15/20,689.0
9/16/20,766.0
9/17/20,980.0
9/18/20,778.0
9/19/20,587.0
9/20/20,0.0
9/21/20,1575.0
9/22/20,695.0
9/23/20,902.0
9/24/20,1078.0
9/25/20,1040.0
9/26/20,996.0
9/27/20,0.0
9/28/20,1329.0
9/29/20,1118.0
9/30/20,1194.0
10/1/20,998.0
10/2/20,984.0
10/3/20,1275.0
10/4/20,0.0
10/5/20,1455.0
10/6/20,1151.0
10/7/20,1215.0
10/8/20,1401.0
10/9/20,1323.0
10/10/20,1637.0
10/11/20,0.0
10/12/20,1943.0
10/13/20,1466.0
10/14/20,1593.0
10/15/20,2458.0
10/16/20,2206.0
10/17/20,1986.0
10/18/20,0.0
10/19/20,3018.0
10/20/20,1871.0
10/21/20,1878.0
10/22/20,2204.0
10/23/20,2046.0
10/24/20,3490.0
10/25/20,0.0
10/26/20,4057.0
10/27/20,2675.0
10/28/20,3590.0
10/29/20,4109.0
10/30/20,3345.0
10/31/20,4018.0
11/1/20,0.0
11/2/20,6920.0
11/3/20,3437.0
11/4/20,4397.0
11/5/20,6103.0
11/6/20,4246.0
11/7/20,6564.0
11/8/20,0.0
11/9/20,9235.0
11/10/20,6944.0
11/11/20,6620.0
11/12/20,7311.0
11/13/20,9179.0
11/14/20,7430.0
11/15/20,0.0
11/16/20,13162.0
11/17/20,7886.0
11/18/20,6218.0
11/19/20,7983.0
11/20/20,10140.0
11/21/20,7840.0
11/22/20,0.0
11/23/20,11943.0
11/24/20,6782.0
11/25/20,4687.0
11/26/20,0.0
11/27/20,17368.0
11/28/20,8351.0
11/29/20,0.0
11/30/20,10790.0
12/1/20,6511.0
12/2/20,7433.0
12/3/20,7957.0
12/4/20,9425.0
12/5/20,6308.0
12/6/20,0.0
12/7/20,9824.0
12/8/20,6676.0
12/9/20,5342.0
12/10/20,6302.0
12/11/20,5626.0
12/12/20,4813.0
12/13/20,0.0
12/14/20,7621.0
12/15/20,5391.0
12/16/20,4644.0
12/17/20,4541.0
12/18/20,4519.0
12/19/20,4181.0
12/20/20,0.0
12/21/20,5059.0
12/22/20,3514.0
12/23/20,3820.0
12/24/20,0.0
12/25/20,0.0
12/26/20,7877.0
12/27/20,0.0
12/28/20,3550.0
12/29/20,3963.0
12/30/20,4782.0
12/31/20,0.0
1/1/21,0.0
1/2/21,9500.0
1/3/21,0.0
1/4/21,5490.0
1/5/21,3031.0
1/6/21,4856.0
1/7/21,4249.0
1/8/21,3908.0
1/9/21,2898.0
1/10/21,0.0
1/11/21,5129.0
1/12/21,2468.0
1/13/21,3128.0
1/14/21,3295.0
1/15/21,3001.0
1/16/21,2211.0
1/17/21,0.0
1/18/21,3343.0
1/19/21,1545.0
1/20/21,3196.0
1/21/21,2513.0
1/22/21,2538.0
1/23/21,1826.0
1/24/21,0.0
1/25/21,3347.0
1/26/21,2075.0
1/27/21,2065.0
1/28/21,2255.0
1/29/21,2139.0
1/30/21,1511.0
1/31/21,0.0
2/1/21,2572.0
2/2/21,1433.0
2/3/21,1717.0
2/4/21,1885.0
2/5/21,1754.0
2/6/21,1186.0
2/7/21,0.0
2/8/21,2128.0
2/9/21,918.0
2/10/21,1239.0
2/11/21,1507.0
2/12/21,1535.0
2/13/21,944.0
2/14/21,0.0
2/15/21,1452.0
2/16/21,1124.0
2/17/21,1240.0
2/18/21,1201.0
2/19/21,1473.0
2/20/21,823.0
2/21/21,0.0
2/22/21,1659.0
2/23/21,1784.0
2/24/21,1558.0
2/25/21,1598.0
2/26/21,1257.0
2/27/21,1425.0
2/28/21,0.0
3/1/21,1865.0
3/2/21,1642.0
3/3/21,1705.0
3/4/21,1827.0
3/5/21,1791.0
3/6/21,1692.0
3/7/21,0.0
3/8/21,2283.0
3/9/21,1535.0
3/10/21,2682.0
3/11/21,2569.0
3/12/21,2944.0
3/13/21,2003.0
3/14/21,0.0
3/15/21,3828.0
3/16/21,2578.0
3/17/21,3785.0
3/18/21,3119.0
3/19/21,4417.0
3/20/21,3255.0
3/21/21,0.0
3/22/21,5768.0
3/23/21,4540.0
3/24/21,5172.0
3/25/21,5843.0
3/26/21,6062.0
3/27/21,5245.0
3/28/21,0.0
3/29/21,9238.0
3/30/21,6306.0
3/31/21,7107.0
4/1/21,7098.0
4/2/21,6151.0
4/3/21,9292.0
4/4/21,0.0
4/5/21,11082.0
4/6/21,6149.0
4/7/21,9369.0
4/8/21,8539.0
4/9/21,8834.0
4/10/21,7539.0
4/11/21,0.0
4/12/21,10553.0
4/13/21,10277.0
4/14/21,9349.0
4/15/21,7191.0
4/16/21,9850.0
4/17/21,6076.0
4/18/21,0.0
4/19/21,9171.0
4/20/21,6601.0
4/21/21,5973.0
4/22/21,5511.0
4/23/21,5640.0
4/24/21,5204.0
4/25/21,0.0
4/26/21,7080.0
4/27/21,4584.0
4/28/21,4943.0
4/29/21,4197.0
4/30/21,3863.0
5/1/21,3708.0
5/2/21,0.0
