,Mississippi
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,0.0
3/12/20,1.0
3/13/20,5.0
3/14/20,0.0
3/15/20,0.0
3/16/20,6.0
3/17/20,9.0
3/18/20,13.0
3/19/20,16.0
3/20/20,30.0
3/21/20,60.0
3/22/20,67.0
3/23/20,42.0
3/24/20,71.0
3/25/20,57.0
3/26/20,108.0
3/27/20,94.0
3/28/20,84.0
3/29/20,96.0
3/30/20,88.0
3/31/20,90.0
4/1/20,136.0
4/2/20,104.0
4/3/20,181.0
4/4/20,97.0
4/5/20,183.0
4/6/20,100.0
4/7/20,177.0
4/8/20,88.0
4/9/20,257.0
4/10/20,209.0
4/11/20,173.0
4/12/20,139.0
4/13/20,161.0
4/14/20,145.0
4/15/20,273.0
4/16/20,264.0
4/17/20,169.0
4/18/20,181.0
4/19/20,300.0
4/20/20,238.0
4/21/20,204.0
4/22/20,178.0
4/23/20,259.0
4/24/20,281.0
4/25/20,284.0
4/26/20,193.0
4/27/20,183.0
4/28/20,248.0
4/29/20,227.0
4/30/20,246.0
5/1/20,397.0
5/2/20,229.0
5/3/20,109.0
5/4/20,327.0
5/5/20,330.0
5/6/20,217.0
5/7/20,262.0
5/8/20,404.0
5/9/20,288.0
5/10/20,123.0
5/11/20,173.0
5/12/20,234.0
5/13/20,182.0
5/14/20,393.0
5/15/20,318.0
5/16/20,322.0
5/17/20,173.0
5/18/20,136.0
5/19/20,272.0
5/20/20,263.0
5/21/20,255.0
5/22/20,403.0
5/23/20,380.0
5/24/20,255.0
5/25/20,198.0
5/26/20,273.0
5/27/20,313.0
5/28/20,328.0
5/29/20,421.0
5/30/20,436.0
5/31/20,294.0
6/1/20,229.0
6/2/20,289.0
6/3/20,281.0
6/4/20,238.0
6/5/20,209.0
6/6/20,270.0
6/7/20,231.0
6/8/20,498.0
6/9/20,355.0
6/10/20,360.0
6/11/20,0.0
6/12/20,608.0
6/13/20,257.0
6/14/20,168.0
6/15/20,283.0
6/16/20,353.0
6/17/20,489.0
6/18/20,0.0
6/19/20,0.0
6/20/20,0.0
6/21/20,0.0
6/22/20,1688.0
6/23/20,569.0
6/24/20,526.0
6/25/20,1092.0
6/26/20,550.0
6/27/20,465.0
6/28/20,361.0
6/29/20,675.0
6/30/20,680.0
7/1/20,653.0
7/2/20,870.0
7/3/20,914.0
7/4/20,990.0
7/5/20,226.0
7/6/20,357.0
7/7/20,957.0
7/8/20,674.0
7/9/20,703.0
7/10/20,1031.0
7/11/20,797.0
7/12/20,868.0
7/13/20,393.0
7/14/20,862.0
7/15/20,1025.0
7/16/20,1230.0
7/17/20,1032.0
7/18/20,1017.0
7/19/20,792.0
7/20/20,1251.0
7/21/20,1635.0
7/22/20,1547.0
7/23/20,982.0
7/24/20,1532.0
7/25/20,1396.0
7/26/20,1173.0
7/27/20,627.0
7/28/20,1304.0
7/29/20,1719.0
7/30/20,1775.0
7/31/20,1168.0
8/1/20,1134.0
8/2/20,672.0
8/3/20,572.0
8/4/20,1074.0
8/5/20,1245.0
8/6/20,956.0
8/7/20,1036.0
8/8/20,1210.0
8/9/20,527.0
8/10/20,476.0
8/11/20,644.0
8/12/20,1081.0
8/13/20,612.0
8/14/20,944.0
8/15/20,825.0
8/16/20,381.0
8/17/20,276.0
8/18/20,795.0
8/19/20,1348.0
8/20/20,894.0
8/21/20,874.0
8/22/20,945.0
8/23/20,626.0
8/24/20,511.0
8/25/20,801.0
8/26/20,904.0
8/27/20,585.0
8/28/20,599.0
8/29/20,735.0
8/30/20,647.0
8/31/20,274.0
9/1/20,634.0
9/2/20,781.0
9/3/20,751.0
9/4/20,823.0
9/5/20,539.0
9/6/20,410.0
9/7/20,242.0
9/8/20,249.0
9/9/20,426.0
9/10/20,517.0
9/11/20,853.0
9/12/20,445.0
9/13/20,254.0
9/14/20,144.0
9/15/20,505.0
9/16/20,711.0
9/17/20,701.0
9/18/20,497.0
9/19/20,655.0
9/20/20,277.0
9/21/20,192.0
9/22/20,465.0
9/23/20,552.0
9/24/20,737.0
9/25/20,722.0
9/26/20,645.0
9/27/20,182.0
9/28/20,190.0
9/29/20,589.0
9/30/20,552.0
10/1/20,696.0
10/2/20,672.0
10/3/20,609.0
10/4/20,321.0
10/5/20,215.0
10/6/20,975.0
10/7/20,563.0
10/8/20,578.0
10/9/20,862.0
10/10/20,957.0
10/11/20,294.0
10/12/20,296.0
10/13/20,713.0
10/14/20,876.0
10/15/20,1322.0
10/16/20,1116.0
10/17/20,751.0
10/18/20,0.0
10/19/20,586.0
10/20/20,730.0
10/21/20,801.0
10/22/20,958.0
10/23/20,795.0
10/24/20,1212.0
10/25/20,0.0
10/26/20,675.0
10/27/20,854.0
10/28/20,1000.0
10/29/20,970.0
10/30/20,749.0
10/31/20,824.0
11/1/20,340.0
11/2/20,365.0
11/3/20,644.0
11/4/20,766.0
11/5/20,1612.0
11/6/20,967.0
11/7/20,1031.0
11/8/20,804.0
11/9/20,516.0
11/10/20,933.0
11/11/20,1256.0
11/12/20,1271.0
11/13/20,1305.0
11/14/20,1370.0
11/15/20,969.0
11/16/20,589.0
11/17/20,905.0
11/18/20,1593.0
11/19/20,1395.0
11/20/20,1638.0
11/21/20,1972.0
11/22/20,779.0
11/23/20,699.0
11/24/20,665.0
11/25/20,1092.0
11/26/20,1746.0
11/27/20,1005.0
11/28/20,1553.0
11/29/20,1845.0
11/30/20,1485.0
12/1/20,1141.0
12/2/20,2457.0
12/3/20,2168.0
12/4/20,2480.0
12/5/20,1942.0
12/6/20,1473.0
12/7/20,1263.0
12/8/20,1732.0
12/9/20,2746.0
12/10/20,2283.0
12/11/20,2327.0
12/12/20,2665.0
12/13/20,1500.0
12/14/20,1648.0
12/15/20,2205.0
12/16/20,2343.0
12/17/20,2261.0
12/18/20,2507.0
12/19/20,1700.0
12/20/20,2222.0
12/21/20,1167.0
12/22/20,2191.0
12/23/20,2634.0
12/24/20,2326.0
12/25/20,1527.0
12/26/20,845.0
12/27/20,1365.0
12/28/20,1701.0
12/29/20,1943.0
12/30/20,3023.0
12/31/20,2756.0
1/1/21,2575.0
1/2/21,1891.0
1/3/21,1784.0
1/4/21,1616.0
1/5/21,1767.0
1/6/21,2791.0
1/7/21,0.0
1/8/21,5430.0
1/9/21,3203.0
1/10/21,2214.0
1/11/21,1227.0
1/12/21,1648.0
1/13/21,1942.0
1/14/21,1948.0
1/15/21,2342.0
1/16/21,2680.0
1/17/21,1606.0
1/18/21,1457.0
1/19/21,1193.0
1/20/21,1702.0
1/21/21,2290.0
1/22/21,2050.0
1/23/21,1856.0
1/24/21,1196.0
1/25/21,927.0
1/26/21,1452.0
1/27/21,2074.0
1/28/21,1804.0
1/29/21,2186.0
1/30/21,1528.0
1/31/21,811.0
2/1/21,705.0
2/2/21,825.0
2/3/21,791.0
2/4/21,1210.0
2/5/21,1210.0
2/6/21,1036.0
2/7/21,900.0
2/8/21,635.0
2/9/21,656.0
2/10/21,784.0
2/11/21,911.0
2/12/21,984.0
2/13/21,695.0
2/14/21,1093.0
2/15/21,544.0
2/16/21,734.0
2/17/21,684.0
2/18/21,134.0
2/19/21,360.0
2/20/21,350.0
2/21/21,390.0
2/22/21,242.0
2/23/21,348.0
2/24/21,669.0
2/25/21,920.0
2/26/21,731.0
2/27/21,549.0
2/28/21,704.0
3/1/21,199.0
3/2/21,301.0
3/3/21,380.0
3/4/21,479.0
3/5/21,591.0
3/6/21,576.0
3/7/21,260.0
3/8/21,70.0
3/9/21,357.0
3/10/21,437.0
3/11/21,679.0
3/12/21,763.0
3/13/21,690.0
3/14/21,203.0
3/15/21,101.0
3/16/21,369.0
3/17/21,352.0
3/18/21,322.0
3/19/21,392.0
3/20/21,361.0
3/21/21,160.0
3/22/21,95.0
3/23/21,306.0
3/24/21,387.0
3/25/21,317.0
3/26/21,268.0
3/27/21,210.0
3/28/21,196.0
3/29/21,79.0
3/30/21,163.0
3/31/21,288.0
4/1/21,271.0
4/2/21,284.0
4/3/21,290.0
4/4/21,97.0
4/5/21,70.0
4/6/21,183.0
4/7/21,270.0
4/8/21,240.0
4/9/21,243.0
4/10/21,238.0
4/11/21,117.0
4/12/21,70.0
4/13/21,317.0
4/14/21,275.0
4/15/21,410.0
4/16/21,216.0
4/17/21,292.0
4/18/21,157.0
4/19/21,37.0
4/20/21,362.0
4/21/21,233.0
4/22/21,319.0
4/23/21,212.0
4/24/21,0.0
4/25/21,0.0
4/26/21,638.0
4/27/21,172.0
4/28/21,334.0
4/29/21,161.0
4/30/21,246.0
5/1/21,0.0
5/2/21,0.0
