,Nevada
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,1.0
3/6/20,1.0
3/7/20,0.0
3/8/20,2.0
3/9/20,0.0
3/10/20,0.0
3/11/20,3.0
3/12/20,3.0
3/13/20,8.0
3/14/20,2.0
3/15/20,0.0
3/16/20,25.0
3/17/20,10.0
3/18/20,0.0
3/19/20,40.0
3/20/20,66.0
3/21/20,0.0
3/22/20,29.0
3/23/20,55.0
3/24/20,33.0
3/25/20,45.0
3/26/20,97.0
3/27/20,116.0
3/28/20,90.0
3/29/20,294.0
3/30/20,92.0
3/31/20,102.0
4/1/20,165.0
4/2/20,184.0
4/3/20,51.0
4/4/20,228.0
4/5/20,113.0
4/6/20,98.0
4/7/20,171.0
4/8/20,135.0
4/9/20,197.0
4/10/20,266.0
4/11/20,-20.0
4/12/20,134.0
4/13/20,154.0
4/14/20,144.0
4/15/20,77.0
4/16/20,3.0
4/17/20,310.0
4/18/20,102.0
4/19/20,102.0
4/20/20,102.0
4/21/20,107.0
4/22/20,144.0
4/23/20,127.0
4/24/20,190.0
4/25/20,141.0
4/26/20,195.0
4/27/20,-34.0
4/28/20,121.0
4/29/20,113.0
4/30/20,119.0
5/1/20,195.0
5/2/20,141.0
5/3/20,83.0
5/4/20,158.0
5/5/20,30.0
5/6/20,81.0
5/7/20,114.0
5/8/20,65.0
5/9/20,251.0
5/10/20,-51.0
5/11/20,32.0
5/12/20,161.0
5/13/20,163.0
5/14/20,28.0
5/15/20,229.0
5/16/20,80.0
5/17/20,136.0
5/18/20,112.0
5/19/20,35.0
5/20/20,292.0
5/21/20,12.0
5/22/20,125.0
5/23/20,1.0
5/24/20,355.0
5/25/20,75.0
5/26/20,101.0
5/27/20,93.0
5/28/20,98.0
5/29/20,128.0
5/30/20,141.0
5/31/20,111.0
6/1/20,74.0
6/2/20,156.0
6/3/20,93.0
6/4/20,178.0
6/5/20,180.0
6/6/20,182.0
6/7/20,178.0
6/8/20,147.0
6/9/20,229.0
6/10/20,173.0
6/11/20,255.0
6/12/20,231.0
6/13/20,293.0
6/14/20,204.0
6/15/20,114.0
6/16/20,368.0
6/17/20,171.0
6/18/20,315.0
6/19/20,355.0
6/20/20,452.0
6/21/20,264.0
6/22/20,288.0
6/23/20,469.0
6/24/20,365.0
6/25/20,497.0
6/26/20,381.0
6/27/20,1099.0
6/28/20,821.0
6/29/20,734.0
6/30/20,562.0
7/1/20,645.0
7/2/20,632.0
7/3/20,985.0
7/4/20,857.0
7/5/20,843.0
7/6/20,491.0
7/7/20,876.0
7/8/20,516.0
7/9/20,603.0
7/10/20,1004.0
7/11/20,930.0
7/12/20,845.0
7/13/20,832.0
7/14/20,1104.0
7/15/20,849.0
7/16/20,1447.0
7/17/20,1380.0
7/18/20,1182.0
7/19/20,1288.0
7/20/20,948.0
7/21/20,815.0
7/22/20,1129.0
7/23/20,1262.0
7/24/20,966.0
7/25/20,931.0
7/26/20,1027.0
7/27/20,988.0
7/28/20,1105.0
7/29/20,870.0
7/30/20,1018.0
7/31/20,1264.0
8/1/20,986.0
8/2/20,1131.0
8/3/20,994.0
8/4/20,980.0
8/5/20,649.0
8/6/20,729.0
8/7/20,976.0
8/8/20,886.0
8/9/20,811.0
8/10/20,742.0
8/11/20,548.0
8/12/20,528.0
8/13/20,602.0
8/14/20,1099.0
8/15/20,859.0
8/16/20,697.0
8/17/20,662.0
8/18/20,672.0
8/19/20,389.0
8/20/20,556.0
8/21/20,849.0
8/22/20,636.0
8/23/20,532.0
8/24/20,409.0
8/25/20,403.0
8/26/20,253.0
8/27/20,554.0
8/28/20,632.0
8/29/20,609.0
8/30/20,447.0
8/31/20,320.0
9/1/20,405.0
9/2/20,239.0
9/3/20,351.0
9/4/20,489.0
9/5/20,390.0
9/6/20,508.0
9/7/20,357.0
9/8/20,137.0
9/9/20,154.0
9/10/20,288.0
9/11/20,260.0
9/12/20,414.0
9/13/20,317.0
9/14/20,277.0
9/15/20,226.0
9/16/20,208.0
9/17/20,347.0
9/18/20,501.0
9/19/20,323.0
9/20/20,385.0
9/21/20,232.0
9/22/20,262.0
9/23/20,509.0
9/24/20,390.0
9/25/20,556.0
9/26/20,602.0
9/27/20,373.0
9/28/20,463.0
9/29/20,404.0
9/30/20,385.0
10/1/20,430.0
10/2/20,772.0
10/3/20,526.0
10/4/20,392.0
10/5/20,337.0
10/6/20,479.0
10/7/20,431.0
10/8/20,480.0
10/9/20,766.0
10/10/20,806.0
10/11/20,380.0
10/12/20,569.0
10/13/20,487.0
10/14/20,479.0
10/15/20,655.0
10/16/20,716.0
10/17/20,967.0
10/18/20,609.0
10/19/20,582.0
10/20/20,656.0
10/21/20,565.0
10/22/20,789.0
10/23/20,812.0
10/24/20,1147.0
10/25/20,891.0
10/26/20,475.0
10/27/20,730.0
10/28/20,571.0
10/29/20,1073.0
10/30/20,1232.0
10/31/20,977.0
11/1/20,716.0
11/2/20,637.0
11/3/20,911.0
11/4/20,1068.0
11/5/20,1267.0
11/6/20,1562.0
11/7/20,1824.0
11/8/20,1276.0
11/9/20,960.0
11/10/20,1322.0
11/11/20,1107.0
11/12/20,1469.0
11/13/20,1857.0
11/14/20,2269.0
11/15/20,1177.0
11/16/20,1916.0
11/17/20,1696.0
11/18/20,1664.0
11/19/20,2417.0
11/20/20,1838.0
11/21/20,2019.0
11/22/20,2155.0
11/23/20,2339.0
11/24/20,2871.0
11/25/20,3142.0
11/26/20,2541.0
11/27/20,1536.0
11/28/20,2912.0
11/29/20,1298.0
11/30/20,1644.0
12/1/20,2671.0
12/2/20,2155.0
12/3/20,2535.0
12/4/20,2902.0
12/5/20,3194.0
12/6/20,2512.0
12/7/20,2447.0
12/8/20,2697.0
12/9/20,3050.0
12/10/20,2193.0
12/11/20,2783.0
12/12/20,2639.0
12/13/20,2884.0
12/14/20,2580.0
12/15/20,2319.0
12/16/20,2366.0
12/17/20,2281.0
12/18/20,2878.0
12/19/20,2601.0
12/20/20,2087.0
12/21/20,1939.0
12/22/20,1090.0
12/23/20,2988.0
12/24/20,2249.0
12/25/20,1853.0
12/26/20,1589.0
12/27/20,1856.0
12/28/20,868.0
12/29/20,1747.0
12/30/20,2471.0
12/31/20,2136.0
1/1/21,2315.0
1/2/21,1825.0
1/3/21,2743.0
1/4/21,1418.0
1/5/21,2423.0
1/6/21,1938.0
1/7/21,3403.0
1/8/21,2865.0
1/9/21,2648.0
1/10/21,2260.0
1/11/21,1680.0
1/12/21,2593.0
1/13/21,1143.0
1/14/21,2187.0
1/15/21,1878.0
1/16/21,2040.0
1/17/21,1483.0
1/18/21,1221.0
1/19/21,1178.0
1/20/21,1171.0
1/21/21,1200.0
1/22/21,1869.0
1/23/21,1501.0
1/24/21,1194.0
1/25/21,990.0
1/26/21,956.0
1/27/21,1020.0
1/28/21,1078.0
1/29/21,1328.0
1/30/21,1070.0
1/31/21,959.0
2/1/21,838.0
2/2/21,811.0
2/3/21,750.0
2/4/21,889.0
2/5/21,897.0
2/6/21,898.0
2/7/21,651.0
2/8/21,548.0
2/9/21,546.0
2/10/21,659.0
2/11/21,592.0
2/12/21,636.0
2/13/21,813.0
2/14/21,512.0
2/15/21,391.0
2/16/21,290.0
2/17/21,363.0
2/18/21,488.0
2/19/21,420.0
2/20/21,371.0
2/21/21,301.0
2/22/21,173.0
2/23/21,398.0
2/24/21,516.0
2/25/21,571.0
2/26/21,399.0
2/27/21,459.0
2/28/21,266.0
3/1/21,226.0
3/2/21,309.0
3/3/21,395.0
3/4/21,385.0
3/5/21,391.0
3/6/21,500.0
3/7/21,230.0
3/8/21,203.0
3/9/21,429.0
3/10/21,325.0
3/11/21,618.0
3/12/21,858.0
3/13/21,442.0
3/14/21,222.0
3/15/21,184.0
3/16/21,346.0
3/17/21,301.0
3/18/21,297.0
3/19/21,265.0
3/20/21,271.0
3/21/21,227.0
3/22/21,156.0
3/23/21,147.0
3/24/21,246.0
3/25/21,444.0
3/26/21,445.0
3/27/21,302.0
3/28/21,143.0
3/29/21,212.0
3/30/21,221.0
3/31/21,268.0
4/1/21,350.0
4/2/21,342.0
4/3/21,462.0
4/4/21,260.0
4/5/21,181.0
4/6/21,295.0
4/7/21,277.0
4/8/21,386.0
4/9/21,637.0
4/10/21,752.0
4/11/21,320.0
4/12/21,319.0
4/13/21,412.0
4/14/21,395.0
4/15/21,549.0
4/16/21,536.0
4/17/21,0.0
4/18/21,0.0
4/19/21,698.0
4/20/21,381.0
4/21/21,436.0
4/22/21,528.0
4/23/21,562.0
4/24/21,0.0
4/25/21,0.0
4/26/21,840.0
4/27/21,405.0
4/28/21,390.0
4/29/21,453.0
4/30/21,510.0
5/1/21,0.0
5/2/21,0.0
