,New Jersey
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,2.0
3/6/20,0.0
3/7/20,2.0
3/8/20,1.0
3/9/20,0.0
3/10/20,10.0
3/11/20,8.0
3/12/20,6.0
3/13/20,20.0
3/14/20,20.0
3/15/20,3.0
3/16/20,104.0
3/17/20,74.0
3/18/20,147.0
3/19/20,344.0
3/20/20,149.0
3/21/20,437.0
3/22/20,587.0
3/23/20,930.0
3/24/20,831.0
3/25/20,727.0
3/26/20,2474.0
3/27/20,1949.0
3/28/20,2299.0
3/29/20,2262.0
3/30/20,3250.0
3/31/20,2060.0
4/1/20,3559.0
4/2/20,3335.0
4/3/20,4305.0
4/4/20,4229.0
4/5/20,3381.0
4/6/20,3585.0
4/7/20,3326.0
4/8/20,3021.0
4/9/20,3590.0
4/10/20,3561.0
4/11/20,3563.0
4/12/20,3699.0
4/13/20,2734.0
4/14/20,4240.0
4/15/20,2206.0
4/16/20,4287.0
4/17/20,3150.0
4/18/20,2953.0
4/19/20,3881.0
4/20/20,3421.0
4/21/20,3665.0
4/22/20,3527.0
4/23/20,4111.0
4/24/20,2171.0
4/25/20,3302.0
4/26/20,3540.0
4/27/20,2150.0
4/28/20,2668.0
4/29/20,2509.0
4/30/20,2287.0
5/1/20,2551.0
5/2/20,2532.0
5/3/20,3028.0
5/4/20,1533.0
5/5/20,2332.0
5/6/20,1300.0
5/7/20,2109.0
5/8/20,1862.0
5/9/20,1565.0
5/10/20,1359.0
5/11/20,1466.0
5/12/20,727.0
5/13/20,657.0
5/14/20,1161.0
5/15/20,1290.0
5/16/20,1109.0
5/17/20,1420.0
5/18/20,1748.0
5/19/20,1132.0
5/20/20,1443.0
5/21/20,826.0
5/22/20,1016.0
5/23/20,565.0
5/24/20,1019.0
5/25/20,941.0
5/26/20,687.0
5/27/20,879.0
5/28/20,576.0
5/29/20,1667.0
5/30/20,770.0
5/31/20,838.0
6/1/20,486.0
6/2/20,658.0
6/3/20,541.0
6/4/20,478.0
6/5/20,825.0
6/6/20,566.0
6/7/20,279.0
6/8/20,348.0
6/9/20,316.0
6/10/20,566.0
6/11/20,495.0
6/12/20,367.0
6/13/20,456.0
6/14/20,284.0
6/15/20,244.0
6/16/20,353.0
6/17/20,301.0
6/18/20,425.0
6/19/20,419.0
6/20/20,355.0
6/21/20,321.0
6/22/20,305.0
6/23/20,358.0
6/24/20,177.0
6/25/20,335.0
6/26/20,412.0
6/27/20,311.0
6/28/20,325.0
6/29/20,133.0
6/30/20,434.0
7/1/20,301.0
7/2/20,477.0
7/3/20,418.0
7/4/20,303.0
7/5/20,392.0
7/6/20,242.0
7/7/20,323.0
7/8/20,199.0
7/9/20,279.0
7/10/20,397.0
7/11/20,368.0
7/12/20,376.0
7/13/20,287.0
7/14/20,455.0
7/15/20,413.0
7/16/20,274.0
7/17/20,97.0
7/18/20,289.0
7/19/20,-8.0
7/20/20,240.0
7/21/20,351.0
7/22/20,443.0
7/23/20,285.0
7/24/20,498.0
7/25/20,549.0
7/26/20,534.0
7/27/20,495.0
7/28/20,547.0
7/29/20,340.0
7/30/20,408.0
7/31/20,748.0
8/1/20,405.0
8/2/20,351.0
8/3/20,308.0
8/4/20,393.0
8/5/20,400.0
8/6/20,423.0
8/7/20,407.0
8/8/20,393.0
8/9/20,366.0
8/10/20,306.0
8/11/20,479.0
8/12/20,519.0
8/13/20,694.0
8/14/20,619.0
8/15/20,316.0
8/16/20,40.0
8/17/20,360.0
8/18/20,381.0
8/19/20,370.0
8/20/20,141.0
8/21/20,331.0
8/22/20,555.0
8/23/20,181.0
8/24/20,279.0
8/25/20,345.0
8/26/20,337.0
8/27/20,350.0
8/28/20,405.0
8/29/20,375.0
8/30/20,316.0
8/31/20,402.0
9/1/20,379.0
9/2/20,346.0
9/3/20,426.0
9/4/20,512.0
9/5/20,368.0
9/6/20,340.0
9/7/20,366.0
9/8/20,351.0
9/9/20,396.0
9/10/20,471.0
9/11/20,530.0
9/12/20,479.0
9/13/20,331.0
9/14/20,388.0
9/15/20,492.0
9/16/20,454.0
9/17/20,633.0
9/18/20,540.0
9/19/20,496.0
9/20/20,493.0
9/21/20,479.0
9/22/20,509.0
9/23/20,492.0
9/24/20,305.0
9/25/20,962.0
9/26/20,816.0
9/27/20,763.0
9/28/20,661.0
9/29/20,570.0
9/30/20,813.0
10/1/20,717.0
10/2/20,835.0
10/3/20,1026.0
10/4/20,695.0
10/5/20,606.0
10/6/20,742.0
10/7/20,625.0
10/8/20,1415.0
10/9/20,990.0
10/10/20,962.0
10/11/20,837.0
10/12/20,633.0
10/13/20,1191.0
10/14/20,1148.0
10/15/20,1163.0
10/16/20,1044.0
10/17/20,1088.0
10/18/20,1092.0
10/19/20,1807.0
10/20/20,1266.0
10/21/20,1319.0
10/22/20,1434.0
10/23/20,1344.0
10/24/20,2189.0
10/25/20,1414.0
10/26/20,1657.0
10/27/20,2001.0
10/28/20,2094.0
10/29/20,1975.0
10/30/20,2368.0
10/31/20,1752.0
11/1/20,2173.0
11/2/20,1948.0
11/3/20,2446.0
11/4/20,3052.0
11/5/20,2581.0
11/6/20,2761.0
11/7/20,3687.0
11/8/20,2508.0
11/9/20,2722.0
11/10/20,4451.0
11/11/20,3814.0
11/12/20,4121.0
11/13/20,4023.0
11/14/20,4853.0
11/15/20,5053.0
11/16/20,2932.0
11/17/20,4743.0
11/18/20,4743.0
11/19/20,4888.0
11/20/20,4232.0
11/21/20,5143.0
11/22/20,4430.0
11/23/20,4281.0
11/24/20,4996.0
11/25/20,4727.0
11/26/20,4887.0
11/27/20,4831.0
11/28/20,3739.0
11/29/20,5192.0
11/30/20,4039.0
12/1/20,5470.0
12/2/20,5068.0
12/3/20,5569.0
12/4/20,6393.0
12/5/20,5933.0
12/6/20,6609.0
12/7/20,4441.0
12/8/20,6176.0
12/9/20,5116.0
12/10/20,5818.0
12/11/20,4298.0
12/12/20,6794.0
12/13/20,4693.0
12/14/20,5536.0
12/15/20,4614.0
12/16/20,6324.0
12/17/20,4806.0
12/18/20,4576.0
12/19/20,4764.0
12/20/20,5692.0
12/21/20,3885.0
12/22/20,5253.0
12/23/20,5427.0
12/24/20,5297.0
12/25/20,5431.0
12/26/20,4655.0
12/27/20,3041.0
12/28/20,3664.0
12/29/20,4416.0
12/30/20,5450.0
12/31/20,5732.0
1/1/21,6016.0
1/2/21,6159.0
1/3/21,4248.0
1/4/21,1797.0
1/5/21,7153.0
1/6/21,5657.0
1/7/21,6704.0
1/8/21,5931.0
1/9/21,6558.0
1/10/21,5578.0
1/11/21,5334.0
1/12/21,4587.0
1/13/21,7880.0
1/14/21,7092.0
1/15/21,6311.0
1/16/21,6057.0
1/17/21,5132.0
1/18/21,3853.0
1/19/21,4628.0
1/20/21,5438.0
1/21/21,5049.0
1/22/21,4200.0
1/23/21,7147.0
1/24/21,5272.0
1/25/21,4143.0
1/26/21,4830.0
1/27/21,4756.0
1/28/21,4746.0
1/29/21,5986.0
1/30/21,5274.0
1/31/21,4286.0
2/1/21,3517.0
2/2/21,3150.0
2/3/21,2311.0
2/4/21,3289.0
2/5/21,4228.0
2/6/21,4511.0
2/7/21,4332.0
2/8/21,2561.0
2/9/21,3576.0
2/10/21,4370.0
2/11/21,3656.0
2/12/21,3732.0
2/13/21,3757.0
2/14/21,2168.0
2/15/21,1445.0
2/16/21,3633.0
2/17/21,4109.0
2/18/21,3277.0
2/19/21,3047.0
2/20/21,2877.0
2/21/21,2030.0
2/22/21,2704.0
2/23/21,3158.0
2/24/21,3119.0
2/25/21,3577.0
2/26/21,3870.0
2/27/21,4134.0
2/28/21,2389.0
3/1/21,3140.0
3/2/21,3289.0
3/3/21,3691.0
3/4/21,3193.0
3/5/21,3701.0
3/6/21,3720.0
3/7/21,2519.0
3/8/21,2307.0
3/9/21,4126.0
3/10/21,3775.0
3/11/21,3815.0
3/12/21,4049.0
3/13/21,3866.0
3/14/21,3314.0
3/15/21,2824.0
3/16/21,3713.0
3/17/21,4329.0
3/18/21,4461.0
3/19/21,4551.0
3/20/21,4909.0
3/21/21,3238.0
3/22/21,3151.0
3/23/21,4803.0
3/24/21,4096.0
3/25/21,3946.0
3/26/21,5599.0
3/27/21,4662.0
3/28/21,4509.0
3/29/21,3621.0
3/30/21,4871.0
3/31/21,3672.0
4/1/21,5606.0
4/2/21,4529.0
4/3/21,4445.0
4/4/21,3799.0
4/5/21,2831.0
4/6/21,3710.0
4/7/21,4243.0
4/8/21,4332.0
4/9/21,4193.0
4/10/21,3599.0
4/11/21,3387.0
4/12/21,2468.0
4/13/21,3963.0
4/14/21,3563.0
4/15/21,3958.0
4/16/21,4340.0
4/17/21,3922.0
4/18/21,3149.0
4/19/21,2183.0
4/20/21,2839.0
4/21/21,3475.0
4/22/21,3230.0
4/23/21,2834.0
4/24/21,2783.0
4/25/21,1694.0
4/26/21,-9005.0
4/27/21,2124.0
4/28/21,2113.0
4/29/21,2242.0
4/30/21,1858.0
5/1/21,1589.0
5/2/21,1198.0
