,New Mexico
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,0.0
3/4/20,0.0
3/5/20,0.0
3/6/20,0.0
3/7/20,0.0
3/8/20,0.0
3/9/20,0.0
3/10/20,0.0
3/11/20,3.0
3/12/20,2.0
3/13/20,5.0
3/14/20,3.0
3/15/20,0.0
3/16/20,8.0
3/17/20,2.0
3/18/20,5.0
3/19/20,7.0
3/20/20,7.0
3/21/20,13.0
3/22/20,2.0
3/23/20,26.0
3/24/20,17.0
3/25/20,13.0
3/26/20,0.0
3/27/20,23.0
3/28/20,72.0
3/29/20,29.0
3/30/20,0.0
3/31/20,78.0
4/1/20,12.0
4/2/20,46.0
4/3/20,117.0
4/4/20,16.0
4/5/20,118.0
4/6/20,62.0
4/7/20,108.0
4/8/20,27.0
4/9/20,44.0
4/10/20,216.0
4/11/20,10.0
4/12/20,154.0
4/13/20,17.0
4/14/20,83.0
4/15/20,139.0
4/16/20,0.0
4/17/20,113.0
4/18/20,201.0
4/19/20,47.0
4/20/20,126.0
4/21/20,0.0
4/22/20,239.0
4/23/20,169.0
4/24/20,142.0
4/25/20,139.0
4/26/20,66.0
4/27/20,99.0
4/28/20,149.0
4/29/20,239.0
4/30/20,198.0
5/1/20,102.0
5/2/20,219.0
5/3/20,118.0
5/4/20,181.0
5/5/20,107.0
5/6/20,153.0
5/7/20,202.0
5/8/20,180.0
5/9/20,105.0
5/10/20,85.0
5/11/20,206.0
5/12/20,143.0
5/13/20,152.0
5/14/20,139.0
5/15/20,159.0
5/16/20,185.0
5/17/20,91.0
5/18/20,158.0
5/19/20,96.0
5/20/20,125.0
5/21/20,155.0
5/22/20,153.0
5/23/20,0.0
5/24/20,318.0
5/25/20,83.0
5/26/20,104.0
5/27/20,122.0
5/28/20,112.0
5/29/20,129.0
5/30/20,131.0
5/31/20,65.0
6/1/20,111.0
6/2/20,224.0
6/3/20,116.0
6/4/20,213.0
6/5/20,319.0
6/6/20,128.0
6/7/20,140.0
6/8/20,122.0
6/9/20,43.0
6/10/20,145.0
6/11/20,117.0
6/12/20,159.0
6/13/20,95.0
6/14/20,102.0
6/15/20,122.0
6/16/20,88.0
6/17/20,132.0
6/18/20,88.0
6/19/20,107.0
6/20/20,170.0
6/21/20,135.0
6/22/20,129.0
6/23/20,144.0
6/24/20,152.0
6/25/20,202.0
6/26/20,216.0
6/27/20,211.0
6/28/20,190.0
6/29/20,173.0
6/30/20,165.0
7/1/20,129.0
7/2/20,244.0
7/3/20,256.0
7/4/20,287.0
7/5/20,193.0
7/6/20,251.0
7/7/20,220.0
7/8/20,290.0
7/9/20,234.0
7/10/20,298.0
7/11/20,224.0
7/12/20,255.0
7/13/20,263.0
7/14/20,223.0
7/15/20,327.0
7/16/20,297.0
7/17/20,318.0
7/18/20,280.0
7/19/20,235.0
7/20/20,244.0
7/21/20,302.0
7/22/20,311.0
7/23/20,335.0
7/24/20,312.0
7/25/20,313.0
7/26/20,254.0
7/27/20,460.0
7/28/20,289.0
7/29/20,345.0
7/30/20,252.0
7/31/20,212.0
8/1/20,196.0
8/2/20,220.0
8/3/20,114.0
8/4/20,210.0
8/5/20,226.0
8/6/20,207.0
8/7/20,192.0
8/8/20,150.0
8/9/20,200.0
8/10/20,129.0
8/11/20,199.0
8/12/20,173.0
8/13/20,171.0
8/14/20,173.0
8/15/20,142.0
8/16/20,106.0
8/17/20,92.0
8/18/20,79.0
8/19/20,170.0
8/20/20,202.0
8/21/20,144.0
8/22/20,207.0
8/23/20,94.0
8/24/20,146.0
8/25/20,64.0
8/26/20,126.0
8/27/20,188.0
8/28/20,122.0
8/29/20,136.0
8/30/20,105.0
8/31/20,69.0
9/1/20,108.0
9/2/20,152.0
9/3/20,200.0
9/4/20,90.0
9/5/20,146.0
9/6/20,59.0
9/7/20,37.0
9/8/20,37.0
9/9/20,87.0
9/10/20,161.0
9/11/20,134.0
9/12/20,98.0
9/13/20,100.0
9/14/20,81.0
9/15/20,81.0
9/16/20,118.0
9/17/20,158.0
9/18/20,151.0
9/19/20,162.0
9/20/20,67.0
9/21/20,104.0
9/22/20,107.0
9/23/20,197.0
9/24/20,237.0
9/25/20,263.0
9/26/20,205.0
9/27/20,152.0
9/28/20,141.0
9/29/20,172.0
9/30/20,278.0
10/1/20,226.0
10/2/20,339.0
10/3/20,296.0
10/4/20,181.0
10/5/20,155.0
10/6/20,315.0
10/7/20,425.0
10/8/20,384.0
10/9/20,485.0
10/10/20,481.0
10/11/20,261.0
10/12/20,379.0
10/13/20,351.0
10/14/20,577.0
10/15/20,668.0
10/16/20,812.0
10/17/20,573.0
10/18/20,445.0
10/19/20,514.0
10/20/20,594.0
10/21/20,819.0
10/22/20,662.0
10/23/20,791.0
10/24/20,872.0
10/25/20,823.0
10/26/20,723.0
10/27/20,583.0
10/28/20,657.0
10/29/20,1078.0
10/30/20,1005.0
10/31/20,581.0
11/1/20,742.0
11/2/20,872.0
11/3/20,1136.0
11/4/20,1011.0
11/5/20,859.0
11/6/20,1284.0
11/7/20,1277.0
11/8/20,1210.0
11/9/20,1408.0
11/10/20,1258.0
11/11/20,1487.0
11/12/20,1742.0
11/13/20,1230.0
11/14/20,1165.0
11/15/20,1030.0
11/16/20,1253.0
11/17/20,2105.0
11/18/20,2892.0
11/19/20,3665.0
11/20/20,2982.0
11/21/20,2342.0
11/22/20,2456.0
11/23/20,2252.0
11/24/20,2099.0
11/25/20,1855.0
11/26/20,1694.0
11/27/20,2056.0
11/28/20,2130.0
11/29/20,1435.0
11/30/20,1678.0
12/1/20,2324.0
12/2/20,1544.0
12/3/20,1899.0
12/4/20,2073.0
12/5/20,1921.0
12/6/20,1232.0
12/7/20,1859.0
12/8/20,0.0
12/9/20,3003.0
12/10/20,1781.0
12/11/20,1834.0
12/12/20,1793.0
12/13/20,1442.0
12/14/20,1499.0
12/15/20,1258.0
12/16/20,1800.0
12/17/20,1688.0
12/18/20,1455.0
12/19/20,1430.0
12/20/20,1063.0
12/21/20,815.0
12/22/20,1267.0
12/23/20,1167.0
12/24/20,1924.0
12/25/20,1456.0
12/26/20,604.0
12/27/20,742.0
12/28/20,691.0
12/29/20,1216.0
12/30/20,1311.0
12/31/20,1678.0
1/1/21,1278.0
1/2/21,1237.0
1/3/21,1015.0
1/4/21,921.0
1/5/21,1184.0
1/6/21,1485.0
1/7/21,1835.0
1/8/21,1637.0
1/9/21,1498.0
1/10/21,1203.0
1/11/21,930.0
1/12/21,887.0
1/13/21,1145.0
1/14/21,1424.0
1/15/21,1262.0
1/16/21,1088.0
1/17/21,744.0
1/18/21,626.0
1/19/21,691.0
1/20/21,881.0
1/21/21,988.0
1/22/21,908.0
1/23/21,848.0
1/24/21,626.0
1/25/21,491.0
1/26/21,600.0
1/27/21,751.0
1/28/21,672.0
1/29/21,1079.0
1/30/21,741.0
1/31/21,525.0
2/1/21,486.0
2/2/21,432.0
2/3/21,670.0
2/4/21,559.0
2/5/21,582.0
2/6/21,421.0
2/7/21,342.0
2/8/21,311.0
2/9/21,413.0
2/10/21,510.0
2/11/21,533.0
2/12/21,401.0
2/13/21,565.0
2/14/21,282.0
2/15/21,190.0
2/16/21,299.0
2/17/21,272.0
2/18/21,407.0
2/19/21,311.0
2/20/21,425.0
2/21/21,314.0
2/22/21,234.0
2/23/21,312.0
2/24/21,446.0
2/25/21,299.0
2/26/21,656.0
2/27/21,152.0
2/28/21,244.0
3/1/21,165.0
3/2/21,245.0
3/3/21,356.0
3/4/21,258.0
3/5/21,304.0
3/6/21,282.0
3/7/21,180.0
3/8/21,118.0
3/9/21,198.0
3/10/21,249.0
3/11/21,233.0
3/12/21,264.0
3/13/21,183.0
3/14/21,144.0
3/15/21,177.0
3/16/21,176.0
3/17/21,243.0
3/18/21,251.0
3/19/21,216.0
3/20/21,186.0
3/21/21,171.0
3/22/21,162.0
3/23/21,171.0
3/24/21,211.0
3/25/21,216.0
3/26/21,225.0
3/27/21,171.0
3/28/21,161.0
3/29/21,182.0
3/30/21,147.0
3/31/21,275.0
4/1/21,293.0
4/2/21,207.0
4/3/21,0.0
4/4/21,0.0
4/5/21,443.0
4/6/21,178.0
4/7/21,216.0
4/8/21,258.0
4/9/21,121.0
4/10/21,0.0
4/11/21,0.0
4/12/21,619.0
4/13/21,177.0
4/14/21,214.0
4/15/21,227.0
4/16/21,263.0
4/17/21,0.0
4/18/21,0.0
4/19/21,610.0
4/20/21,137.0
4/21/21,168.0
4/22/21,207.0
4/23/21,231.0
4/24/21,0.0
4/25/21,0.0
4/26/21,623.0
4/27/21,153.0
4/28/21,221.0
4/29/21,229.0
4/30/21,286.0
5/1/21,0.0
5/2/21,0.0
