,New York
1/22/20,
1/23/20,0.0
1/24/20,0.0
1/25/20,0.0
1/26/20,0.0
1/27/20,0.0
1/28/20,0.0
1/29/20,0.0
1/30/20,0.0
1/31/20,0.0
2/1/20,0.0
2/2/20,0.0
2/3/20,0.0
2/4/20,0.0
2/5/20,0.0
2/6/20,0.0
2/7/20,0.0
2/8/20,0.0
2/9/20,0.0
2/10/20,0.0
2/11/20,0.0
2/12/20,0.0
2/13/20,0.0
2/14/20,0.0
2/15/20,0.0
2/16/20,0.0
2/17/20,0.0
2/18/20,0.0
2/19/20,0.0
2/20/20,0.0
2/21/20,0.0
2/22/20,0.0
2/23/20,0.0
2/24/20,0.0
2/25/20,0.0
2/26/20,0.0
2/27/20,0.0
2/28/20,0.0
2/29/20,0.0
3/1/20,0.0
3/2/20,0.0
3/3/20,1.0
3/4/20,9.0
3/5/20,11.0
3/6/20,3.0
3/7/20,52.0
3/8/20,29.0
3/9/20,33.0
3/10/20,14.0
3/11/20,64.0
3/12/20,80.0
3/13/20,83.0
3/14/20,178.0
3/15/20,76.0
3/16/20,328.0
3/17/20,446.0
3/18/20,1100.0
3/19/20,1714.0
3/20/20,3439.0
3/21/20,2750.0
3/22/20,4781.0
3/23/20,5693.0
3/24/20,4797.0
3/25/20,5160.0
3/26/20,6556.0
3/27/20,7304.0
3/28/20,7699.0
3/29/20,7248.0
3/30/20,7015.0
3/31/20,9190.0
4/1/20,14524.0
4/2/20,10403.0
4/3/20,10675.0
4/4/20,10250.0
4/5/20,10995.0
4/6/20,9861.0
4/7/20,7413.0
4/8/20,10211.0
4/9/20,12071.0
4/10/20,11473.0
4/11/20,8533.0
4/12/20,8373.0
4/13/20,7853.0
4/14/20,7471.0
4/15/20,6658.0
4/16/20,7889.0
4/17/20,6986.0
4/18/20,6877.0
4/19/20,6644.0
4/20/20,6386.0
4/21/20,4633.0
4/22/20,4259.0
4/23/20,5497.0
4/24/20,6668.0
4/25/20,9442.0
4/26/20,5677.0
4/27/20,4313.0
4/28/20,2908.0
4/29/20,3136.0
4/30/20,4377.0
5/1/20,4490.0
5/2/20,4375.0
5/3/20,3511.0
5/4/20,3143.0
5/5/20,2106.0
5/6/20,2123.0
5/7/20,3211.0
5/8/20,2899.0
5/9/20,2635.0
5/10/20,2400.0
5/11/20,1824.0
5/12/20,1330.0
5/13/20,1518.0
5/14/20,2339.0
5/15/20,2248.0
5/16/20,2518.0
5/17/20,2023.0
5/18/20,1498.0
5/19/20,1386.0
5/20/20,1166.0
5/21/20,1866.0
5/22/20,1900.0
5/23/20,2071.0
5/24/20,1808.0
5/25/20,1691.0
5/26/20,961.0
5/27/20,933.0
5/28/20,1156.0
5/29/20,1663.0
5/30/20,1372.0
5/31/20,1209.0
6/1/20,1136.0
6/2/20,1069.0
6/3/20,789.0
6/4/20,1212.0
6/5/20,1123.0
6/6/20,1055.0
6/7/20,857.0
6/8/20,736.0
6/9/20,598.0
6/10/20,461.0
6/11/20,810.0
6/12/20,816.0
6/13/20,760.0
6/14/20,693.0
6/15/20,667.0
6/16/20,509.0
6/17/20,411.0
6/18/20,699.0
6/19/20,824.0
6/20/20,695.0
6/21/20,666.0
6/22/20,642.0
6/23/20,501.0
6/24/20,473.0
6/25/20,814.0
6/26/20,829.0
6/27/20,734.0
6/28/20,611.0
6/29/20,534.0
6/30/20,503.0
7/1/20,547.0
7/2/20,907.0
7/3/20,914.0
7/4/20,777.0
7/5/20,722.0
7/6/20,522.0
7/7/20,448.0
7/8/20,568.0
7/9/20,765.0
7/10/20,920.0
7/11/20,878.0
7/12/20,747.0
7/13/20,635.0
7/14/20,873.0
7/15/20,702.0
7/16/20,890.0
7/17/20,827.0
7/18/20,829.0
7/19/20,644.0
7/20/20,674.0
7/21/20,700.0
7/22/20,556.0
7/23/20,853.0
7/24/20,750.0
7/25/20,760.0
7/26/20,628.0
7/27/20,635.0
7/28/20,505.0
7/29/20,572.0
7/30/20,797.0
7/31/20,690.0
8/1/20,755.0
8/2/20,553.0
8/3/20,590.0
8/4/20,633.0
8/5/20,484.0
8/6/20,742.0
8/7/20,578.0
8/8/20,698.0
8/9/20,574.0
8/10/20,521.0
8/11/20,582.0
8/12/20,464.0
8/13/20,642.0
8/14/20,650.0
8/15/20,692.0
8/16/20,610.0
8/17/20,473.0
8/18/20,538.0
8/19/20,517.0
8/20/20,683.0
8/21/20,737.0
8/22/20,683.0
8/23/20,542.0
8/24/20,473.0
8/25/20,555.0
8/26/20,482.0
8/27/20,798.0
8/28/20,669.0
8/29/20,694.0
8/30/20,713.0
8/31/20,685.0
9/1/20,603.0
9/2/20,648.0
9/3/20,917.0
9/4/20,870.0
9/5/20,820.0
9/6/20,736.0
9/7/20,567.0
9/8/20,502.0
9/9/20,592.0
9/10/20,662.0
9/11/20,1031.0
9/12/20,926.0
9/13/20,834.0
9/14/20,662.0
9/15/20,689.0
9/16/20,684.0
9/17/20,1025.0
9/18/20,831.0
9/19/20,902.0
9/20/20,852.0
9/21/20,635.0
9/22/20,588.0
9/23/20,569.0
9/24/20,1101.0
9/25/20,1000.0
9/26/20,1173.0
9/27/20,1032.0
9/28/20,969.0
9/29/20,979.0
9/30/20,984.0
10/1/20,1324.0
10/2/20,1759.0
10/3/20,1687.0
10/4/20,1386.0
10/5/20,1147.0
10/6/20,1149.0
10/7/20,1218.0
10/8/20,2078.0
10/9/20,1609.0
10/10/20,1503.0
10/11/20,1274.0
10/12/20,1254.0
10/13/20,1204.0
10/14/20,1098.0
10/15/20,1538.0
10/16/20,1747.0
10/17/20,1695.0
10/18/20,1512.0
10/19/20,1209.0
10/20/20,1238.0
10/21/20,1716.0
10/22/20,1892.0
10/23/20,1834.0
10/24/20,2124.0
10/25/20,1920.0
10/26/20,1545.0
10/27/20,1781.0
10/28/20,1711.0
10/29/20,2351.0
10/30/20,2328.0
10/31/20,2393.0
11/1/20,2122.0
11/2/20,1870.0
11/3/20,2069.0
11/4/20,2068.0
11/5/20,3217.0
11/6/20,3211.0
11/7/20,3900.0
11/8/20,3579.0
11/9/20,3446.0
11/10/20,3957.0
11/11/20,4253.0
11/12/20,5225.0
11/13/20,5666.0
11/14/20,5577.0
11/15/20,4192.0
11/16/20,4210.0
11/17/20,4612.0
11/18/20,4876.0
11/19/20,5824.0
11/20/20,5733.0
11/21/20,6312.0
11/22/20,5680.0
11/23/20,6437.0
11/24/20,4882.0
11/25/20,6033.0
11/26/20,7312.0
11/27/20,8278.0
11/28/20,6861.0
11/29/20,5478.0
11/30/20,7772.0
12/1/20,7087.0
12/2/20,8135.0
12/3/20,10148.0
12/4/20,11846.0
12/5/20,11054.0
12/6/20,10151.0
12/7/20,8453.0
12/8/20,8435.0
12/9/20,9258.0
12/10/20,11124.0
12/11/20,11124.0
12/12/20,11000.0
12/13/20,10587.0
12/14/20,10138.0
12/15/20,8964.0
12/16/20,9419.0
12/17/20,11723.0
12/18/20,12652.0
12/19/20,10067.0
12/20/20,9305.0
12/21/20,9805.0
12/22/20,9393.0
12/23/20,10532.0
12/24/20,13024.0
12/25/20,13048.0
12/26/20,11129.0
12/27/20,8008.0
12/28/20,8268.0
12/29/20,10183.0
12/30/20,12917.0
12/31/20,15393.0
1/1/21,17033.0
1/2/21,15849.0
1/3/21,12232.0
1/4/21,11242.0
1/5/21,13142.0
1/6/21,16016.0
1/7/21,17588.0
1/8/21,19560.0
1/9/21,17839.0
1/10/21,16308.0
1/11/21,14179.0
1/12/21,14791.0
1/13/21,14704.0
1/14/21,14187.0
1/15/21,19469.0
1/16/21,15945.0
1/17/21,13694.0
1/18/21,13410.0
1/19/21,12721.0
1/20/21,11119.0
1/21/21,13908.0
1/22/21,15684.0
1/23/21,13909.0
1/24/21,12383.0
1/25/21,11972.0
1/26/21,11040.0
1/27/21,10365.0
1/28/21,13783.0
1/29/21,12951.0
1/30/21,12892.0
1/31/21,11209.0
2/1/21,8932.0
2/2/21,7949.0
2/3/21,7154.0
2/4/21,6970.0
2/5/21,7897.0
2/6/21,11492.0
2/7/21,9923.0
2/8/21,8972.0
2/9/21,8279.0
2/10/21,6584.0
2/11/21,10011.0
2/12/21,8715.0
2/13/21,8755.0
2/14/21,8330.0
2/15/21,6538.0
2/16/21,6709.0
2/17/21,5925.0
2/18/21,9582.0
2/19/21,8573.0
2/20/21,8238.0
2/21/21,6237.0
2/22/21,6297.0
2/23/21,6923.0
2/24/21,6139.0
2/25/21,8893.0
2/26/21,8074.0
2/27/21,8042.0
2/28/21,7827.0
3/1/21,6436.0
3/2/21,6381.0
3/3/21,6564.0
3/4/21,7468.0
3/5/21,8151.0
3/6/21,8126.0
3/7/21,7658.0
3/8/21,5440.0
3/9/21,6833.0
3/10/21,6106.0
3/11/21,7169.0
3/12/21,4226.0
3/13/21,10251.0
3/14/21,6687.0
3/15/21,7119.0
3/16/21,6711.0
3/17/21,6582.0
3/18/21,5515.0
3/19/21,5077.0
3/20/21,6667.0
3/21/21,3735.0
3/22/21,2796.0
3/23/21,3309.0
3/24/21,27644.0
3/25/21,8551.0
3/26/21,8059.0
3/27/21,8694.0
3/28/21,8910.0
3/29/21,8742.0
3/30/21,5875.0
3/31/21,7789.0
4/1/21,9170.0
4/2/21,8038.0
4/3/21,7755.0
4/4/21,7636.0
4/5/21,6659.0
4/6/21,6041.0
4/7/21,6643.0
4/8/21,8727.0
4/9/21,8662.0
4/10/21,7495.0
4/11/21,6630.0
4/12/21,5631.0
4/13/21,5023.0
4/14/21,6060.0
4/15/21,7029.0
4/16/21,6344.0
4/17/21,6590.0
4/18/21,5641.0
4/19/21,5026.0
4/20/21,4576.0
4/21/21,4292.0
4/22/21,5238.0
4/23/21,4847.0
4/24/21,4138.0
4/25/21,4064.0
4/26/21,3009.0
4/27/21,3312.0
4/28/21,3034.0
4/29/21,3897.0
4/30/21,3805.0
5/1/21,3872.0
5/2/21,2826.0
